pesticide,usb_folder,folder_found,total_pdf_named_files,real_pdf_count,html_placeholder_count,other_count,read_error_count,curation_status,priority,recommended_next_action,sample_files
Bentazone,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Bentazone,Yes,14,0,14,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_Brief_Photocatalytic_Study_of_ZnO_Containing_Cerium_towards_Ibuprofen_Degradat.pdf | Adsorption_of_bentazone_in_the_profiles_of_mineral_soils_with_low_organic_matter.pdf | An_Overview_of_Photocatalytic_Membrane_Degradation_Development_.pdf | Bioaugmentation_has_temporary_effect_on_anaerobic_pesticide_biodegradation_in_si.pdf
Boscalid,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Boscalid,Yes,14,0,14,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Degradation_of_Pesticide_Residues_in_Water__Soil__and_Food_Products_via_Cold_Pla.pdf | Dissipation_kinetics_and_biological_degradation_by_yeast_and_dietary_risk_assess.pdf | Dissipation_Residue_Behaviors_and_Dietary_Risk_Assessment_of_Boscalid_and_Pyracl.pdf
Buprofezin,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Buprofezin,Yes,13,0,13,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Buprofezin_Is_Metabolized_by_CYP353D1v2__a_Cytochrome_P450_Associated_with_Imida.pdf | Conclusion_regarding_the_peer_review_of_the_pesticide_risk_assessment_of_the_act.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Degradation_of_Acephate_and_Its_Intermediate_Methamidophos__Mechanisms_and_Bioch.pdf
Dicofol,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Dicofol,Yes,13,0,13,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_refined_method_for_analysis_of_4_4__dicofol_and_4_4__dichlorobenzophenone_.pdf | Biodegradation_of_DDT__1_1_1_trichloro_2_2_bis_4_chlorophenyl_ethane__by_the_whi.pdf | Burning_question__Rethinking_organohalide_degradation_strategy_for_bioremediatio.pdf | Degradation_of_endrin__aldrin__and_DDT_by_soil_microorganisms_.pdf
Pirimiphos-Methyl,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Pirimiphos-Methyl,Yes,13,0,13,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,_Quasi__Binomial_vs__Gaussian_Models_to_Evaluate_Thiamethoxam__Pirimiphos_Methyl.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | Characteristics_of_Aflatoxin_B_sub_1__sub__Degradation_by__i_Stenotrophomonas_ac.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf
Quinclorac,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Quinclorac,Yes,13,0,13,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | Biodegradation_of_diuron_by_an_endophytic_fungus_Neurospora_intermedia_DP8_1_iso.pdf | Combined_effects_of_micropollutants_and_their_degradation_on_prokaryotic_communi.pdf | Complementary_RNA_Sequencing_Based_Transcriptomics_and_iTRAQ_Proteomics_Reveal_t.pdf
Cyprodinil,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Cyprodinil,Yes,12,0,12,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Changed_degradation_behavior_of_pesticides_when_present_in_mixtures_.pdf | Conditions_Optimizing_and_Application_of_Laccase_mediator_System__LMS__for_the_L.pdf | Degradation_of_Pesticide_Residues_in_Water__Soil__and_Food_Products_via_Cold_Pla.pdf | Effect_of_cyprodinil_and_fludioxonil_pesticides_on_bovine_liver_catalase_activit.pdf
Endrin,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Endrin,Yes,12,0,12,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Bacterial_degradation_of_aromatic_compounds_.pdf | Biochar_in_co_contaminated_soil_manipulates_arsenic_solubility_and_microbiologic.pdf | Biodegradability_and_biodegradation_pathways_of_chlorinated_cyclodiene_insectici.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf
Esfenvalerate,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Esfenvalerate,Yes,12,0,12,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Degradation_of_the_strobilurin_fungicide_mandestrobin_in_illuminated_water_sedim.pdf | Effects_of_the_insecticide_esfenvalerate_on_zooplankton_in_an_indoor_synthetic_m.pdf
Flubendiamide,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Flubendiamide,Yes,12,0,12,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_monoclonal_antibody_based_indirect_competitive_enzyme_linked_immunosorbent_ass.pdf | Biodegradation_of_flubendiamide_by_a_newly_isolated_Chryseobacterium_sp__strain_.pdf | Biodegradation_of_pesticide_in_agricultural_soil_employing_entomopathogenic_fung.pdf | De_novo_transcriptome_and_expression_profile_analyses_of_the_Asian_corn_borer__O.pdf
Phorate,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Phorate,Yes,12,0,12,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | Biodegradation_of_two_organophosphorus_pesticides_in_whole_corn_silage_as_affect.pdf | Degradation_kinetics_and_physiological_studies_of_organophosphates_degrading_mic.pdf | Degradation_of_Pesticides_Using_Semiconducting_and_Tetrapyrrolic_Macrocyclic_Pho.pdf
Chlorpropham,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Chlorpropham,Yes,11,0,11,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_multifunctional_enzyme_portfolio_for_α_chaconine_and_α_solanine_degradation_in.pdf | An_Amidase_Gene___i_ipaH__i___Is_Responsible_for_the_Initial_Step_in_the_Iprodio.pdf | Biodegradation_of_phenmedipham_by_novel__i_Ochrobactrum_anthropi__i__NC_1_.pdf | Characterization_of_a_novel_amidohydrolase_with_promiscuous_esterase_activity_fr.pdf
Ethion,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Ethion,Yes,9,0,9,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | Biodegradation_of_pesticide_in_agricultural_soil_employing_entomopathogenic_fung.pdf | Chitosan_TPP_encapsulated_quercetin_nanoparticles__amplified_protection_mechanis.pdf
Ethoprophos,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Ethoprophos,Yes,9,0,9,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Biodegradation_of_chlorpyrifos_by_enterobacter_strain_B_14_and_its_use_in_biorem.pdf | Effects_of_soil_pH_on_the_biodegradation_of_chlorpyrifos_and_isolation_of_a_chlo.pdf | Efficacy_of_Ethoprop_on_Meloidogyne_hapla_and_M__chitwoodi_and_Enhanced_Biodegra.pdf | Efficient_biodegradation_of_acephate_by__i_Pseudomonas_pseudoalcaligenes__i__PS_.pdf
Folpet,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Folpet,Yes,9,0,9,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Atmospheric_oxidation_of_Folpet_initiated_by_OH_radicals__NO_sub_3__sub__radical.pdf | Degradation_of_metalaxyl_and_mefenoxam_and_effects_on_the_microbiological_proper.pdf | Low_temperatures_lead_to_higher_toxicity_of_the_fungicide_folpet_to_larval_stage.pdf | Modification_of_the_existing_maximum_residue_level_for_folpet_in_lettuces_.pdf
Prothioconazole,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Prothioconazole,Yes,9,0,9,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Changed_degradation_behavior_of_pesticides_when_present_in_mixtures_.pdf | Degradation_pathway_of_triazole_fungicides_and_synchronous_removal_of_transforma.pdf | Effect_of_novel_botanical_synergist_on_the_effectiveness_and_residue_behavior_of.pdf | Effective_and_Sustained_Control_of_Soil_Borne_Plant_Diseases_by_Biodegradable_Po.pdf
Cyromazine,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Cyromazine,Yes,8,0,8,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Assembly_Driven_Oxidative_Degradation_of_Melarsomine_Triggered_by_Cyanuric_Acid_.pdf | Bacterial_degradation_of_N_cyclopropylmelamine__The_steps_to_ring_cleavage_.pdf | Biodegradation_of_cyromazine_by_melamine_degrading_bacteria_.pdf | Role_of_Insect_Gut_Microbiota_in_Pesticide_Degradation__A_Review_.pdf
Dichlobenil,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Dichlobenil,Yes,8,0,8,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Biodegradation_of_nitriles_in_shale_oil_.pdf | Degradation_and_mineralization_of_nanomolar_concentrations_of_the_herbicide_dich.pdf | Degradation_of_Acetonitrile_by_Pseudomonas_putida_.pdf | Fungal_degradation_of_aromatic_nitriles__Enzymology_of_C_N_cleavage_by_Fusarium_.pdf
Haloxyfop,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Haloxyfop,Yes,8,0,8,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Chiral_method_validation_and_stereoselective_degradation_of_profoxydim_isomers_i.pdf | Dynamics_of_the_Degradation_of_Acetyl_CoA_Carboxylase_Herbicides_in_Vegetables_.pdf | Impact_of_biochar_on_the_degradation_rates_of_three_pesticides_by_vegetables_and.pdf | Molecular_basis_for_enantioselective_herbicide_degradation_imparted_by_aryloxyal.pdf
Fenhexamid,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Fenhexamid,Yes,6,0,6,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Endocrine_disruptors_fludioxonil_and_fenhexamid_stimulate_miR_21_expression_in_b.pdf | Highly_sensitive_voltammetric_determination_of_the_fungicide_fenhexamid_using_a_.pdf | In_vitro_metabolism_of_tebuconazole__flurtamone__fenhexamid__metalaxyl_M_and_spi.pdf | Modification_of_the_existing_maximum_residue_levels_for_fenhexamid_in_various_cr.pdf
Imazethapyr,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Imazethapyr,Yes,6,0,6,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Adsorption_and_degradation_of_imazapic_in_soils_under_different_environmental_co.pdf | Enantioselective_phytotoxicity_of_the_herbicide_imazethapyr_on_the_response_of_t.pdf | Ethylene_Biosynthesis_Inhibition_Combined_with_Cyanide_Degradation_Confer_Resist.pdf | Herbicidal_Ionic_Liquids__A_Promising_Future_for_Old_Herbicides__Review_on_Synth.pdf
Azinphos-Methyl,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Azinphos-Methyl,Yes,5,0,5,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Microbial_Degradation_of_Pesticide_Residues_and_an_Emphasis_on_the_Degradation_o.pdf | Organophosphorus_pesticide_degradation_product_in_vitro_metabolic_stability_and_.pdf | Photodegradation_of_pesticides_using_compound_specific_isotope_analysis__CSIA___.pdf | Screening_for__i_Lactobacillus_plantarum__i__Strains_That_Possess_Organophosphor.pdf
Dimethomorph,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Dimethomorph,Yes,5,0,5,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Attenuation_and_soil_biodegradation_of_fungicides_by_using_vegetated_buffer_stri.pdf | Co_exposure_of_dimethomorph_and_imidacloprid__effects_on_soil_bacterial_communit.pdf | Degradation_strategies_of_pesticide_residue__From_chemicals_to_synthetic_biology.pdf | Dissipation_and_Safety_Analysis_of_Dimethomorph_Application_in_Lychee_by_High_Pe.pdf
Fluazinam,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Fluazinam,Yes,5,0,5,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Comparative_Transcriptome_Analysis_Reveals_the_Mechanism_Related_to_Fluazinam_St.pdf | Conclusion_regarding_the_peer_review_of_the_pesticide_risk_assessment_of_the_act.pdf | Dissipation_and_Residue_Pattern_of_Dinotefuran__Fluazinam__Indoxacarb__and_Thiac.pdf | Modification_of_the_existing_maximum_residue_levels_for_fluazinam_in_onions__sha.pdf
Cadusafos,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Cadusafos,Yes,4,0,4,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Biodegradation_of_chlorpyrifos_by_enterobacter_strain_B_14_and_its_use_in_biorem.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Degradation_kinetics_and_physiological_studies_of_organophosphates_degrading_mic.pdf | Microbial_degradation_of_halogenated_aromatics__molecular_mechanisms_and_enzymat.pdf
Etoxazole,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Etoxazole,Yes,4,0,4,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Chiral_Separation_and_Determination_of_Etoxazole_Enantiomers_in_Vegetables_by_No.pdf | Crystal_structure_and_Hirshfeld_surface_analysis_of_the_pesticide_etoxazole_.pdf | Peer_review_of_the_pesticide_risk_assessment_of_the_active_substance_etoxazole_.pdf | Residue_Behaviors_and_Degradation_Dynamics_of_Insecticides_Commonly_Applied_to__.pdf
Isoxaflutole,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Isoxaflutole,Yes,3,0,3,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Changed_degradation_behavior_of_pesticides_when_present_in_mixtures_.pdf | Comparison_of_transcriptome_responses_to_glyphosate__isoxaflutole__quizalofop_p_.pdf | Ecotoxicological_Evaluation_of_Safener_and_Antimicrobial_Additives_in_Isoxafluto.pdf
