Microorganism,Culture_type,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,Metabolite_or_product
Trametes versicolor,Individual strain,Isoxaflutole,Experimental evidence,Not specified,"INRA culture collection (Versailles, France)",2000,Oxidoreductases,Laccase,"bphA1, benA, bph, p450, ppah",10.1021/jf000397q,
Burkholderia sp.,Individual strain,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Transferases,Histidine kinase,"bphA1, benA, bph, p450, ppah",10.1016/j.jhazmat.2022.128961,
Burkholderia sp.,Individual strain,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Transferases,Glutathione S-transferase (GST),,10.1016/j.jhazmat.2022.128961,
Burkholderia sp.,Individual strain,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Oxidoreductases,Aldehyde dehydrogenase,,10.1016/j.jhazmat.2022.128961,
Burkholderia sp.,Individual strain,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Transferases,Transketolase,,10.1016/j.jhazmat.2022.128961,
Burkholderia sp.,Individual strain,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Oxidoreductases,Pyruvate dehydrogenase,,10.1016/j.jhazmat.2022.128961,
Paraburkholderia sp.,Individual strain,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Transferases,Histidine kinase,"bphA1, benA, bph, p450, ppah",10.1016/j.jhazmat.2022.128961,
Paraburkholderia sp.,Individual strain,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Transferases,Glutathione S-transferase (GST),,10.1016/j.jhazmat.2022.128961,
Paraburkholderia sp.,Individual strain,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Oxidoreductases,Aldehyde dehydrogenase,,10.1016/j.jhazmat.2022.128961,
Paraburkholderia sp.,Individual strain,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Transferases,Transketolase,,10.1016/j.jhazmat.2022.128961,
Paraburkholderia sp.,Individual strain,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Oxidoreductases,Pyruvate dehydrogenase,,10.1016/j.jhazmat.2022.128961,
Hyphomicrobium sp.,Individual strain,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Transferases,Histidine kinase,"bphA1, benA, bph, p450, ppah",10.1016/j.jhazmat.2022.128961,
Hyphomicrobium sp.,Individual strain,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Transferases,Glutathione S-transferase (GST),,10.1016/j.jhazmat.2022.128961,
Hyphomicrobium sp.,Individual strain,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Oxidoreductases,Aldehyde dehydrogenase,,10.1016/j.jhazmat.2022.128961,
Hyphomicrobium sp.,Individual strain,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Transferases,Transketolase,,10.1016/j.jhazmat.2022.128961,
Hyphomicrobium sp.,Individual strain,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Oxidoreductases,Pyruvate dehydrogenase,,10.1016/j.jhazmat.2022.128961,
Novosphingobium sp. MD102,Individual strain,Mandipropamid,Experimental evidence,Soil form gingseng cultivated field,Not specified,2023,,,,10.1016/j.pestbp.2023.105376,
Variovorax sp. MD103,Individual strain,Mandipropamid,Experimental evidence,Soil form gingseng cultivated field,Not specified,2023,,,,10.1016/j.pestbp.2023.105376,
Paenibacillus polymyxa,Individual strain,Propamocarb,Experimental evidence,Ginseng plant endophyte,China,2019,,,,10.1016/j.ecoenv.2018.10.093,
Meyerozyma guilliermondii strain Wyslmt,Individual strain,Diquat,Experimental evidence,Contaminated soil,China,2022,,,DN676,10.3389/fmicb.2022.993721,
"Aeromonas taiwanensis ZJB-18,044",Individual strain,Emamectin benzoate,Experimental evidence,Animal faces,China,2020,,,,10.1007/s10532-020-09909-8,
Ensifer adhaerens CGMCC 6315,Individual strain,Flonicamid,Experimental evidence,Not specified,China,2021,Amidases,Nitrile hydratases,CnhA & PnhA,10.1186/s12934-021-01620-4,N-(4-trifluoromethylnicotinoyl) glycinamide
Alcaligenes faecalis CGMCC 17553,Individual strain,Flonicamid,Experimental evidence,Not specified,Not specified,2019,,,"NitA, NitB,NitC, NitD,NitE",10.1021/acs.jafc.9b04245,N-(4-trifluoromethylnicotinoyl)glycinamide (TFNG-AM)
Microvirga flocculans CGMCC 1.16731,Individual strain,Flonicamid,Experimental evidence,Deposited in CGMCC 1.16731,China,2021,,,AmiA and AmiB,10.1016/j.ecoenv.2021.112384,
Variovorax boronicumulans CGMCC 4969,Individual strain,Flonicamid,Enzymatic evidence,Deposited in CGMCC 1.16732,China,2022,Amidases,Nitrilases,NitA and NitB,10.1111/jam.15561,
Variovorax boronicumulans CGMCC 4969,Individual strain,Flonicamid,Enzymatic evidence,Not specified,Not specified,2024,Amidases,Amidase,NitA and NitB,10.1016/j.scitotenv.2024.172479,
Aminobacter sp. CGMCC 1.17253,Individual strain,Flonicamid,Enzymatic evidence,CGMCC culture collection,China,2023,Amidases,Amidase,PsAmiA,10.1016/j.jhazmat.2022.129952,
Bacillus subtilis PCM 486,Individual strain,Penthiopyrad,Experimental evidence,culture collections,Poland,2020,,,,10.3390/molecules25061421,
Trichoderma harzianum KKP 534,Individual strain,Penthiopyrad,Experimental evidence,culture collections,Poland,2020,,,,10.3390/molecules25061421,
Pseudomonas aeruginosa strain JD115,Individual strain,Acetochlor,Experimental evidence,Contaminated sludge,China,2015,,,,10.1007/s12010-015-1601-7,
Proteiniclasticum sediminis BAD-10ᴛ,Individual strain,Acetochlor,Experimental evidence,Sediment,China,2022,,,,10.1016/j.envres.2022.112859,
Sphingomonas sp. DC-6,Individual strain,Acetochlor,Experimental evidence,Contaminated soil,China,2018,Amidases,Amidases,"cndA, cmeH, meaX, meaY, meaA, meaB",10.1007/s13205-018-1324-x,
Rhodococcus sp. MZ-3,Individual strain,Acetochlor,Experimental evidence,Soil,China,2016,,,,10.1080/03601234.2016.1191907,
Rhodococcus sp.T3-1,Individual strain,Acetochlor,Experimental evidence,Contaminated soil,China,2015,P450,P450 EthBAD,"ethA, ethB, ethD cluster",10.1111/lam.12242,
Delftia sp.T3-6,Individual strain,Acetochlor,Experimental evidence,Contaminated soil,China,2015,P450,P450 EthBAD,"ethA, ethB, ethD cluster",10.1111/lam.12242,
Sphingobium sp.MEA3-1,Individual strain,Acetochlor,Experimental evidence,Contaminated soil,China,2015,P450,P450 EthBAD,"ethA, ethB, ethD cluster",10.1111/lam.12242,
Sphingobium quisquiliarum DC-2,Individual strain,Acetochlor,Experimental evidence,Activated sludge,China,2013,Amidases,Amidase,cmeH,10.1016/j.biortech.2013.09.038,
Bacillus sp. ACD-9,Individual strain,Acetochlor,Experimental evidence,Contaminated soil,China,2020,,,,10.1007/s13205-020-2056-2,2-chloro-N-(2-methyl-6-ethylphenyl) acetamide (CMEPA)
Paracoccus sp. FLY-8,Individual strain,Acetochlor,Experimental evidence,Soil,China,2011,P450,Cytochrome P450 oxygenase (EthBAD),"EthB (oxygenase), EthA (ferredoxin), EthD (reductase)",10.1021/jf104695g,
Rhodococcus sp. Strain T3-1,Individual strain,Acetochlor,Experimental evidence,Soil,China,2015,,,,10.1128/AEM.03601-14,
Bacillus licheniformis strain B-1,Individual strain,Carbosulfan,Experimental evidence,Agriculture soil,China,2020,Phosphatases,Phosphodiesterase (PDE),,10.1007/s10532-020-09899-7,Carbosulfan phosphodiesterase-associated products
Bacillus cereus WL08,Individual strain,Dimethomorph,Experimental evidence,Contaminated soil,China,2020,,,,10.1016/j.jhazmat.2020.122806,
Paracoccus versutus Y4,Individual strain,Etoxazole,Experimental evidence,Contaminated soil,China,2025,Monooxygenase,Monooxygenase,,10.1016/j.jhazmat.2025.138448,Etoxazole monooxygenase/dehydrogenase/hydrolase transformation products
Paracoccus versutus Y4,Individual strain,Etoxazole,Experimental evidence,Contaminated soil,China,2025,Dehydrogenase,Dehydrogenase,,10.1016/j.jhazmat.2025.138448,Etoxazole monooxygenase/dehydrogenase/hydrolase transformation products
Paracoccus versutus Y4,Individual strain,Etoxazole,Experimental evidence,Contaminated soil,China,2025,Hydrolase,Hydrolase,,10.1016/j.jhazmat.2025.138448,Etoxazole monooxygenase/dehydrogenase/hydrolase transformation products
Pseudomonas fluorescens DSM 1976,Individual strain,Azinphos-Methyl,Experimental evidence,Contaminated soil,Germany,1984,,,,10.1021/jf00121a026,
Arthrobacter sp. MCO,Individual strain,Cyromazine,Experimental evidence,Not specified,Not specified,2016,,,,10.1584/jpestics.D15-044,N-cyclopropylammeline
Arthrobacter sp. CSP,Individual strain,Cyromazine,Experimental evidence,Not specified,Not specified,2016,,,,10.1584/jpestics.D15-044,N-cyclopropylammeline
Nocardioides sp. ATD6,Individual strain,Cyromazine,Experimental evidence,Not specified,Not specified,2016,,,,10.1584/jpestics.D15-044,N-cyclopropylammeline
Acinetobacter sp. ZX01,Individual strain,Cyromazine,Experimental evidence,Contaminated soil,China,2014,,,,10.1007/s11356-022-20538-x,
Arthrobacter sp.,Individual strain,Cyromazine,Experimental evidence,Soil,Not specified,1984,,,,10.1042/bj2220315,
Pseudomonas sp.,Individual strain,Cyromazine,Experimental evidence,Soil,Not specified,1984,,,,10.1042/bj2220315,
Phanerochaete sordida YK-624,Individual strain,Dinotefuran,Experimental evidence,Rotted wood,Japan,2019,P450,Cytochrome P450 monooxygenase,,10.1016/j.envpol.2019.06.022,
Phanerochaete sordida YK-624,Individual strain,Dinotefuran,Experimental evidence,Rotted wood,Japan,2019,Peroxidases,Manganese peroxidase,,10.1016/j.envpol.2019.06.022,
Burkholderia sp. C3,Individual strain,Dinotefuran,Experimental evidence,Soil,China,2016,Hydrolases,Carbaryl hydrolase,cahA,10.1007/s10532-013-9629-2,Dinotefuran hydrolysis products
Serratia sarumanii strain GBS19,Individual strain,Fenhexamid,Experimental evidence,Agricultural soil,Turkey,2025,,,,10.1007/s10532-025-10144-2,
Myrothecium verrucaria,Individual strain,Haloxyfop,Experimental evidence,Soil,Not specified,2021,,,,10.1016/j.scitotenv.2024.178012,
Pseudomonas sp. BYT-1,Individual strain,Pymetrozine,Experimental evidence,Activated sludge,China,2019,,,,10.1021/acs.jafc.8b06155,"4-amino-6-methyl-4,5-dihydro-2H-[1,2,4]triazin-3-one (AMDT); 6-hydroxynicotinic acid"
Pseudomonas sp. BYT-1,Individual strain,Pymetrozine,Enzymatic evidence,Activated sludge,China,2021,Hydrolases,Hydrolase,PyzH,10.1111/1462-2920.15557,Nicotinaldehyde; Nicotinic acid
Enterobacter sp. TDS-1,Individual strain,Thiophanate-Methyl,Experimental evidence,Contaminated soil,Poland,2011,,,,10.1007/s10532-010-9430-4,Carbendazim (MBC); 2-aminobenzimidazole (2-AB)
Bacillus sp. TDS-2,Individual strain,Thiophanate-Methyl,Experimental evidence,Contaminated soil,Poland,2011,,,,10.1007/s10532-010-9430-4,Carbendazim (MBC); 2-aminobenzimidazole (2-AB)
Pleurotus ostreatus var. florida,Individual strain,Thiophanate-Methyl,Experimental evidence,Mushroom substrate,Not specified,2019,,,,10.1007/s11356-019-07050-5,Carbendazim
Stenotrophomonas maltophilia ZJB-14120,Individual strain,Abamectin,Experimental evidence,Agricultural soil,China,2015,,,,10.1016/j.resmic.2015.04.002,Metabolite A (m/z 886.8; C24-hydroxylated abamectin B1a); Metabolite B (m/z 709.0); Metabolite C (m/z 485.0); Metabolite D (m/z 292.7)
"Aeromonas taiwanensis ZJB-18,044",Individual strain,Abamectin,Experimental evidence,Animal faces,China,2020,,,,10.1007/s10532-020-09909-8,
Bacillus subtilis BSF01,Individual strain,Cyfluthrin/beta-cyfluthrin,Enzymatic evidence,Not specified,Not specified,2020,Hydrolases,Carboxylesterase assay system,cesB,10.3389/fbioe.2020.00889,Pyrethroid ester-cleavage products
Cellulosimicrobium sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,
Cellulosimicrobium sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,
Burkholderia sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,
Burkholderia sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,
Caballoeronia sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,
Caballoeronia sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,
Paraburkholderia sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,
Paraburkholderia sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,
Mycobacterium sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,
Mycobacterium sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,
Paenibacillus sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,
Paenibacillus sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,
Agromyces sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,
Agromyces sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,
Afipia sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,
Afipia sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,
Acromobacter sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,
Acromobacter sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,
Enterobacter sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,
Enterobacter sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,
Pseudomonas sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,
Pseudomonas sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,
Microbacterium sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,
Microbacterium sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,
Ochrobactrum sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Oxidoreductases,,10.1021/acs.jafc.2c00574,
Ochrobactrum sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,
Enterobacter sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductase,,10.1021/acs.jafc.2c00574,
Enterobacter sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,P450,cytochrome P450-associated enzymes,,10.1021/acs.jafc.2c00574,
Microbacterium sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,,,,10.1021/acs.jafc.2c00574,
Ochrobactrum sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,,,,10.1021/acs.jafc.2c00574,
Pseudomonas sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,,,,10.1021/acs.jafc.2c00574,
Achromobacter sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,,,,10.1021/acs.jafc.2c00574,
Cellulosimicrobium sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,,,,10.1021/acs.jafc.2c00574,
Mycobacterium sp.,Individual strain,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,,,,10.1021/acs.jafc.2c00574,
Sphingomonas paucimobilis,Individual strain,Ethoprophos,Experimental evidence,Contaminated soil,Greece,2005,,,,10.1016/j.femsec.2005.01.012,
Flavobacterium sp.,Individual strain,Ethoprophos,Experimental evidence,Contaminated soil,Greece,2005,,,,10.1016/j.femsec.2005.01.012,
Pseudomonas putida epI,Individual strain,Ethoprophos,Experimental evidence,Contaminated soil,Greece,2000,,,,10.1046/j.1365-2672.2000.01080.x,
Pseudomonas putida epII,Individual strain,Ethoprophos,Experimental evidence,Contaminated soil,Greece,2000,,,,10.1046/j.1365-2672.2000.01080.x,
Rhodococcus sp.,Individual strain,Glufosinate-Ammonium,Experimental evidence,Agricultural soil,Germany,1989,Oxidoreductases,PPT oxidase,,10.1128/aem.55.3.711-716.1989,2-oxo-4-[(hydroxy)(methyl)phosphinoyl]butyric acid; N-acetyl-PPT
Rhodococcus sp.,Individual strain,Glufosinate-Ammonium,Experimental evidence,Agricultural soil,Germany,1989,Transferases,PPT N-acetyltransferase,,10.1128/aem.55.3.711-716.1989,2-oxo-4-[(hydroxy)(methyl)phosphinoyl]butyric acid; N-acetyl-PPT
Rhodococcus sp.,Individual strain,Glufosinate-Ammonium,Experimental evidence,Agricultural soil,Germany,1989,Transferases,PPT transaminase,,10.1128/aem.55.3.711-716.1989,2-oxo-4-[(hydroxy)(methyl)phosphinoyl]butyric acid; N-acetyl-PPT
Streptomycetaceae strains JX02,Individual strain,Imazamox,Experimental evidence,Agricultural soil,China,2022,,,,10.1080/03601234.2022.2064673,
Streptomycetaceae strains JX06,Individual strain,Imazamox,Experimental evidence,Agricultural soil,China,2022,,,,10.1080/03601234.2022.2064673,
Aminobacter aminovorans MDW-2,Individual strain,Methomyl,Experimental evidence,Wastewater,China,2020,Hydrolases,Carbamate C-N hydrolase,AmeH (methomyl hydrolase gene),10.1128/AEM.02005-20.,Methomyl C-N hydrolysis products
Aminobacter sp. MDW-2,Individual strain,Methomyl,Experimental evidence,Contaminated sludge,China,2016,,,,10.1111/lam.12715,
Afipia sp. MDW-3,Individual strain,Methomyl,Experimental evidence,Contaminated sludge,China,2016,,,,10.1111/lam.12715,
Pandoraea sp.,Individual strain,Methomyl,Experimental evidence,Contaminated sludge,China,2023,,,,10.1016/j.jhazmat.2023.131287,
Stenotrophomonas sp.,Individual strain,Methomyl,Experimental evidence,Contaminated soil,China,2023,,,,10.1016/j.jhazmat.2023.131287,
Paracoccus sp. FLY-8,Individual strain,Methomyl,Experimental evidence,Contaminated soil,China,2023,Hydrolases,Esterase,PestE,10.1016/j.jhazmat.2023.131287,
Pyrobaculum calidifontis VA1,Individual strain,Methomyl,Enzymatic evidence,Not specified,Not specified,2022,,,,10.3390/ijms24010433,
Aminobacter aminovorans,Individual strain,Oxamyl,Experimental evidence,Contaminated soil,United Kingdom,2010,,,,10.1016/j.soilbio.2010.01.016,
Aminobacter spp.,Individual strain,Oxamyl,Experimental evidence,Contaminated soil,United Kingdom,2010,,,,10.1016/j.soilbio.2010.01.016,
Mesorhizobium sp.,Individual strain,Oxamyl,Experimental evidence,Contaminated soil,United Kingdom,2010,,,,10.1016/j.soilbio.2010.01.016,
Pseudomonas extremaustralis OXA17,Individual strain,Oxamyl,Experimental evidence,Contaminated soil,Greece,2016,Oxidoreductases,Methylamine dehydrogenase,cehA,10.3389/fmicb.2016.00616,Oxamyl oxime; Methylamine
Pseudomonas monteilii OXA18,Individual strain,Oxamyl,Experimental evidence,Contaminated soil,Greece,2016,Oxidoreductases,Methylamine dehydrogenase,cehA,10.3389/fmicb.2016.00616,Oxamyl oxime; Methylamine
Pseudomonas monteilii OXA25,Individual strain,Oxamyl,Experimental evidence,Contaminated soil,Greece,2016,Oxidoreductases,Methylamine dehydrogenase,cehA,10.3389/fmicb.2016.00616,Oxamyl oxime; Methylamine
Pseudomonas jinjuensis OXA20,Individual strain,Oxamyl,Experimental evidence,Contaminated soil,Greece,2016,Oxidoreductases,Methylamine dehydrogenase,cehA,10.3389/fmicb.2016.00616,Oxamyl oxime; Methylamine
Bacillus licheniformis NKC-1,Individual strain,Chlorpropham,Experimental evidence,Contaminated soil,India,2018,Hydrolases,Chlorpropham hydrolase,,10.1007/s11274-018-2494-8,3-chloroaniline and downstream chlorocatechol products
Bacillus licheniformis NKC-1,Individual strain,Chlorpropham,Experimental evidence,Contaminated soil,India,2018,Dioxygenase,3-chloroaniline dioxygenase,,10.1007/s11274-018-2494-8,3-chloroaniline and downstream chlorocatechol products
Bacillus licheniformis NKC-1,Individual strain,Chlorpropham,Experimental evidence,Contaminated soil,India,2018,Dioxygenases,"4-chlorocatechol 1,2-dioxygenase",,10.1007/s11274-018-2494-8,3-chloroaniline and downstream chlorocatechol products
Bacillus cereus,Individual strain,Indoxacarb,Experimental evidence,Insect gut,India,2016,Hydrolases,Carboxylesterase,,10.1016/j.bjm.2016.01.012,Indoxacarb carboxylesterase hydrolysis products
Klebsiella sp.,Individual strain,Difenoconazole,Experimental evidence,Contaminated soil,Vietnam,2024,,,,10.4014/jmb.2308.08037,
Citrobacter sp.,Individual strain,Difenoconazole,Experimental evidence,Contaminated soil,Vietnam,2024,,,,10.4014/jmb.2308.08037,
Pseudomonas sp,Individual strain,Difenoconazole,Experimental evidence,Contaminated soil,Vietnam,2024,,,,10.4014/jmb.2308.08037,
Lysinibacillus sp. BTKU3,Individual strain,Difenoconazole,Experimental evidence,Oil contaminated soil,India,2022,,,,10.1016/j.chemosphere.2021.131694,
Acinetobacter sp. A-1,Individual strain,Difenoconazole,Experimental evidence,Contaminated soil,China,2025,,,,10.3390/microorganisms13040802,
Phyllobacterium sp.,Individual strain,Difenoconazole,Experimental evidence,Contaminated soil,China,2023,,,,10.1016/j.chemosphere.2022.136863,
Aeromonas sp.,Individual strain,Difenoconazole,Experimental evidence,Contaminated soil,China,2023,,,,10.1016/j.chemosphere.2022.136863,
Burkholderia sp. strain MED-7,Individual strain,Endrin,Experimental evidence,Soil,Japan,2008,,,,10.1007/s00253-008-1670-4,
Cupriavidus sp. strain MED-5,Individual strain,Endrin,Experimental evidence,Soil,Japan,2008,,,,10.1007/s00253-008-1670-4,
Phlebia acanthocystis,Individual strain,Endrin,Experimental evidence,Wood,Not specified,2006,,,,10.1016/j.myc.2019.04.004,
Phlebia brevispora,Individual strain,Endrin,Experimental evidence,Wood,Not specified,2006,,,,10.1016/j.myc.2019.04.004,
Trichoderma viride 12,Individual strain,Endrin,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,
Pseudomonas sp. 27,Individual strain,Endrin,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,
Pseudomonas sp. 33,Individual strain,Endrin,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,
Pseudomonas sp. 34,Individual strain,Endrin,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,
Trichoderma viride 41,Individual strain,Endrin,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,
Pseudomonas sp. 94,Individual strain,Endrin,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,
Pseudomonas sp. 103,Individual strain,Endrin,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,
Pseudomonas sp. 105,Individual strain,Endrin,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,
Pseudomonas sp. 117,Individual strain,Endrin,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,
Pseudomonas sp. 138,Individual strain,Endrin,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,
Micrococcus 204,Individual strain,Endrin,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,
Pseudomonas sp. 265,Individual strain,Endrin,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,
Arthrobacter sp. 278,Individual strain,Endrin,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,
Bacillus sp. 458,Individual strain,Endrin,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,
Bacillus sp. 459,Individual strain,Endrin,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,
Bacillus sp. 461,Individual strain,Endrin,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,
Chryseobacterium indologenes strain SSJ1,Individual strain,Flubendiamide,Experimental evidence,Contaminated sol,India,2016,,,,10.1007/s13205-015-0347-9,
Trichoderma koningiopsis,Individual strain,Flubendiamide,Enzymatic evidence,Contaminated sol,Brazil,2019,,,,10.1007/s13213-019-01536-w,
Neurospora sp.,Individual strain,Flubendiamide,Experimental evidence,Contaminated soil,Brazil,2019,,,,10.1007/s13213-019-01536-w,
Botryosphaeria rhodina,Individual strain,Flubendiamide,Experimental evidence,Contaminated soil,Brazil,2019,Oxidoreductases,Laccase,,10.1007/s13213-019-01536-w,
Rhizobium sp. strain IM9601,Individual strain,Imazethapyr,Experimental evidence,Contaminated soil,India,2010,,,,10.1007/s00284-023-03533-4,
Bacillus marcorestinctum strain YN1,Individual strain,Imazethapyr,Experimental evidence,Contaminated soil,India,2018,,,,10.1016/j.chemosphere.2024.141178,
Pseudomonas sp. IM-4,Individual strain,Imazethapyr,Experimental evidence,Contaminated soil,India,2013,,,,10.1007/s00284-009-9442-7,
Bacillus cereus strain WD-2,Individual strain,Prochloraz,Experimental evidence,Contaminated soil,China,2019,,,,10.1371/journal.pone.0220975,
Aureobacterium sp. strain C964,Individual strain,Prochloraz,Experimental evidence,Soil,Germany,1996,,,,10.1007/s002530050680,
Aureobacterium sp. strain C965,Individual strain,Prochloraz,Experimental evidence,Soil,Germany,1996,,,,10.1007/s002530050680,
