pesticide,paper_title,doi,publication_year,microorganism_or_strain,evidence_category,source_pdf,pesticide_specific_context,biodegradation_term_hits,gene_enzyme_term_hits,pathway_metabolite_term_hits,pesticide_mentions,pesticide_degradation_contexts,microbial_contexts_near_pesticide,gene_enzyme_contexts_near_pesticide,curation_source_folder
Imazamox,Received: 31 May 2022 Revised: 16 August 2022 Accepted article published: 30 August 2022 Published online in Wiley Online Library: 17 September 2022,10.1002/ps.7154,2022,,Gene/enzyme and pathway/metabolite evidence,Survey of ACCase and ALS resistance in winter annual grasses identifies target-site and nontarget-site imazamox resistance in Secale cereale..pdf,"zamox. Out of 314 ﬁeld collected samples, we identiﬁed three feral rye populations (named A, B, and C) that were imazamox resistant. Populations B and C had a target-site mechanism with mutations in the Ser653 residue of the acetolactate synthase (ALS) gene to Asn in B and to Thr in C. Both populations B and C had greatly reduced ALS in vitro enzyme inhibition by imaza mox. ALS feral rye protein modeling showed that steric interactions induced by the amino acid substitutions at Ser653 impaired imazamox binding. Individuals from population A had no mutations in the ALS gene. The ALS enzyme from population A was equally sensitive to imazamox as to known susceptible feral rye populations. Imazamox was degraded two times faster in pop ulation A compared with a susceptible control. An oxidized imazamox metabolite formed faster in population A and this detox iﬁcation reaction was inhibited by",30,66,34,119,8,0,25,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Imazamox/PesticideDB_curation_Imazamox_20260707
Imazamox,Hassink et al. Environmental Sciences Europe (2024) 36:151 Environmental Sciences Europe,10.1186/s12302-024-00974-x,2024,,Gene/enzyme and pathway/metabolite evidence,Development of a new test design to investigate the degradation of pesticides in soil under sunlight conditions.pdf,"is simu by direct irradiation is common practice, but the control of the boundary conditions, i.e. soil temperature and mois ture, to maintain the structure and viability of the soil is challenging. A homogeneous and stable soil microclimate is crucial to compare the degradation data of the test item from the irradiated soil samples to the dark controls as well as to the results from the aerobic soil metabolism study. After trying different scale-up test systems with the UV-sensi tive herbicide imazamox as comparative test item, a new soil photolysis test system was developed which is manage to the soil moisture and temperature. For this, the solar simulator SolarConstant® 1200, equipped with metal halide able in the laboratory and enables a more favorable management of the boundary conditions, especially with regard lamps Radium HRI-TS 1000W/D/S/PRO, was installed by Atlas Ametek (Germa",53,10,29,22,15,7,6,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Imazamox/PesticideDB_curation_Imazamox_20260707
Isopyrazam,pubs.acs.org/JAFC Article,10.1021/acs.jafc.0c02081,2021,,Gene/enzyme and pathway/metabolite evidence,Simultaneous Determination of the Residues of Isopyrazam Isomers and Their Metabolites in Soil and Tomatoes by Ultraperformance Liquid Chromatography-Tandem Mass Spectrometry..pdf,"pubs.acs.org/JAFC Article Simultaneous Determination of the Residues of Isopyrazam Isomers and Their Metabolites in Soil and Tomatoes by Ultraperformance Liquid Chromatography-Tandem Mass Spectrometry Kuan Fang, Yalei Liu, Xiaolian Zhang, Jianwei Fang, Dan Chen, Tong Liu,* and Xiuguo Wang* Cite This: J. Agric. Food Chem. 2021, 69, 756−766 Read Online ACCESS Metrics & More Article Recommendations * sı Supporting Information Downloaded via BUTLER UNIV on May 15, 2021 at 06:22:25 (UTC). ABSTRACT: An eﬀective and sensitive method for the determination of isopyrazam (IZM) isomers",81,11,36,15,8,11,7,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Isopyrazam/PesticideDB_curation_Isopyrazam_20260707
Isopyrazam,APPROVED: 11 June 2021,10.2903/j.efsa.2010.1785,2025,,Gene/enzyme and pathway/metabolite evidence,Review of the existing maximum residue levels for isopyrazam according to Article 12 of Regulation (EC) No 3962005..pdf,"Based on the information provided by the RMS, Member States, the UK and the EURLs, and taking into account the conclusions derived by EFSA in the framework of Commission Regulation (EU) No 188/2011, EFSA prepared in March 2021 a draft reasoned opinion, which was circulated to Member States and EURLs for consultation via a written procedure. Comments received by 29 April 2021 were considered during the ﬁnalisation of this reasoned opinion. The following conclusions are derived. The metabolism of isopyrazam in plant was investigated in primary and rotational crops. According to the results of the metabolism studies, the residue deﬁnition for enforcement can be proposed as isopyrazam (sum of isomers) and for risk assessment as sum of isopyrazam (sum of isomers) and its metabolite CSCD459488 (free and conjugated), expressed as isopyrazam. These residue deﬁnitions are also applicable to proce",76,17,95,275,19,1,8,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Isopyrazam/PesticideDB_curation_Isopyrazam_20260707
Isopyrazam,"Environmental Toxicology and Chemistry, Vol. 29, No. 12, pp. 2702–2712, 2010",10.1002/etc.337,2025,,Gene/enzyme and pathway/metabolite evidence,The behavior of isopyrazam in aquatic ecosystems implementation of a tiered investigation..pdf,"Environmental Toxicology and Chemistry, Vol. 29, No. 12, pp. 2702–2712, 2010 # 2010 SETAC Printed in the USA DOI: 10.1002/etc.337 THE BEHAVIOR OF ISOPYRAZAM IN AQUATIC ECOSYSTEMS: IMPLEMENTATION OF A TIERED INVESTIGATION LAURENCE H. HAND * and ROBIN G. OLIVER Syngenta, Jealott’s Hill International Research Centre, Bracknell, Berkshire, RG42 6EY, United Kingdom (Submitted 6 April 2010; Returned for Revision 14 May 2010; Accepted 26 July 2010) Abstract— Degradation of a new fungicide, isopyrazam, was slow in water–sediment systems maintained in the dark, with degradation half-life (DegT50) values in the total system (water column and sediment) of gre",136,10,46,49,30,11,2,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Isopyrazam/PesticideDB_curation_Isopyrazam_20260707
Isopyrazam,"Environmental Toxicology and Chemistry, Vol. 33, No. 3, pp. 516–524, 2014",10.1002/etc.2490,2025,,Gene/enzyme and pathway/metabolite evidence,Surface water mineralization of isopyrazam according to OECD 309 observations on implementation of the new data requirement within agrochemical regulation..pdf,"Environmental Toxicology and Chemistry, Vol. 33, No. 3, pp. 516–524, 2014 # 2013 SETAC Printed in the USA SURFACE WATER MINERALIZATION OF ISOPYRAZAM ACCORDING TO OECD 309: OBSERVATIONS ON IMPLEMENTATION OF THE NEW DATA REQUIREMENT WITHIN AGROCHEMICAL REGULATION LAURENCE H. HAND* and HARRIET J. MORELAND Syngenta, Product Safety Department, Jealott’s Hill International Research Centre, Bracknell, Berkshire, United Kingdom (Submitted 5 July 2013; Returned for Revision 19 September 2013; Accepted 24 November 2013) Abstract: A surface water mineralization study (according to the Organisation for Economic Co-operation and Development [OECD] guide",120,3,14,49,33,7,0,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Isopyrazam/PesticideDB_curation_Isopyrazam_20260707
Isopyrazam,Received: 27 January 2020 | Revised: 25 March 2020 | Accepted: 28 March 2020,10.1002/jobm.201900687,2025,AF36 in pistachio orchards; AFu was 21; is a more environment; of A. flavus called; of the fungus pyrazam; that can be utilized,Gene/enzyme and pathway/metabolite evidence,Fungicide isopyrazam degradative response toward extrinsically added fungal and bacterial strains..pdf,"robes. BiodiKhuram Shahzad Ahmad, Department of sintegrative assays of pure fungal strains, namely Aspergillus flavus Environmental Sciences, Fatima Jinnah (AF), Penicillium chrysogenum (PC), Aspergillus niger (AN), Aspergillus terreus Women University, The Mall, Rawalpindi 46000, Pakistan. (AT), and Aspergillus fumigatus (AFu), and bacterial strains, namely XanthoEmail: chemist.phd33@yahoo.com; monas axonopodis (XA) and Pseudomonas syringae (PS), were utilized. Initial dr.k.s.ahmad@fjwu.edu.pk isopyrazam concentration (10 mg/L) was prepared with an individual micro bial suspension and monitored for 35 days. Isopyrazam biotransformation was analyzed quantitatively and qualitatively by UV–visible spectro photometery and gas chromatography–mass spectroscopy. P. syringae (R2 = 0.90) and X. axonopodis (R2 = 0.88) displayed maximal potential to me tabolize the fungicide (86% and 80%, respecti",149,19,33,58,37,35,2,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Isopyrazam/PesticideDB_curation_Isopyrazam_20260707
Mandipropamid,Contents lists available at ScienceDirect,10.1016/j.jhazmat.2022.128961,2022,,Gene/enzyme and pathway/metabolite evidence,Indigenous functional microbial degradation of the chiral fungicide mandipropamid in repeatedly treated soils Preferential changes in the R-enantiomer..pdf,"Journal of Hazardous Materials 435 (2022) 128961 Contents lists available at ScienceDirect Journal of Hazardous Materials journal homepage: www.elsevier.com/locate/jhazmat Indigenous functional microbial degradation of the chiral fungicide mandipropamid in repeatedly treated soils: Preferential changes in the R-enantiomer Lingxi Han a, b, Yalei Liu a, Jiyun Nie a, b, Xiangwei You a, Yiqiang Li a, Xiuguo Wang a, *, Jun Wang c a Tobacco Research Institute of Chinese Academy of Agricultural Sciences (CAAS), Qingdao 266101, PR China b College of Horticulture, Qingdao Agricultural University/Laboratory of Quality & Safety Risk Assessment for Fruit (Qingdao), Ministry of Agriculture and Rural Affairs/ National Technology Centre for Whole Process Qua",91,99,20,52,30,35,19,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Mandipropamid/PesticideDB_curation_Mandipropamid_20260707
Mandipropamid,Pesticide Biochemistry and Physiology 191 (2023) 105376,10.1016/j.pestbp.2023.105376,2023,KDI. Biodegradation. 33; Klebsiella sp. SQY5 as; M01; M01 is capable of; MW05 may be adapted; could promote biomass growth,Gene/enzyme and pathway/metabolite evidence,"Insights on the isolation, identification, and degradation characteristics of three bacterial strains against mandipropamid and their application potential for polluted soil remediation..pdf","Pesticide Biochemistry and Physiology 191 (2023) 105376 Contents lists available at ScienceDirect Pesticide Biochemistry and Physiology journal homepage: www.elsevier.com/locate/pest Insights on the isolation, identification, and degradation characteristics of three bacterial strains against mandipropamid and their application potential for polluted soil remediation Shiyin Mu a, Li Dou a, Yu Ye a, Hao Zhang a, Jing Shi b, *, Kankan Zhang a, * a National Key Laboratory of Green Pesticide, Key Laboratory of Green Pesticide and Agricultural Bioengineering, Ministry of Education, Center for R&D of Fine Chemicals of Guizhou University, Guiyang 550025, China b Guizhou Provincial Engineering Technology Research Center for Chemical Drug R&D of Guizhou Medical University, Guiyang 550004, China A R T I C",199,39,13,163,36,40,20,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Mandipropamid/PesticideDB_curation_Mandipropamid_20260707
Mandipropamid,APPROVED: 21 January 2019,10.2903/j.efsa,2025,,Gene/enzyme and pathway/metabolite evidence,Modification of the existing maximum residue levels for mandipropamid in various crops..pdf,"s studies and the capabilities of enforcement analytical methods, the MRL review proposed the residue deﬁnition for enforcement as: ‘mandipropamid (any ratio of constituent isomers)’. The residue deﬁnition for enforcement set in Regulation (EC) No 396/2005 is equivalent to the above mentioned residue deﬁnition, although it does not detail that it covers any ratio of constituent isomers. The residue deﬁnition for risk assessment was proposed by the MRL review for fruits and leafy vegetables as: ‘mandipropamid (any ratio of constituent isomers)’. The MRL review proposed a tentative residue deﬁnition for risk assessment for root crops as: ‘sum of mandipropamid and SYN 500003’, pending on the submission of toxicological information for hazard characterisation of the metabolite SYN 500003. The tentative residue deﬁnition for risk assessment for root crop commodities was used for the root cate",62,16,80,145,13,2,5,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Mandipropamid/PesticideDB_curation_Mandipropamid_20260707
Mandipropamid,APPROVED: 26 April 2018,10.2903/j.efsa,2025,,Gene/enzyme and pathway/metabolite evidence,Review of the existing maximum residue levels for mandipropamid according to Article 12 of Regulation (EC) NoÂ 3962005..pdf,". Based on the conclusions derived by EFSA in the framework of Commission Regulation (EU) No 188/2011, the MRLs established by the Codex Alimentarius Commission and the additional information provided by the RMS and MS, EFSA prepared in March 2018 a draft reasoned opinion, which was circulated to MS for consultation via a written procedure. Comments received by 30 March 2018 were considered during the ﬁnalisation of this reasoned opinion. The following conclusions are derived. The metabolism of mandipropamid in fruits and leafy vegetables is similar. In roots the metabolism differs from fruits and leafy vegetables, since metabolite SYN 500003 was detected at signiﬁcant levels. The residue deﬁnition for fruits and leafy vegetables is proposed as follows: mandipropamid (any ratio of constituent isomers). For roots the following residue deﬁnition for risk assessments is proposed: sum of man",55,15,76,193,9,7,5,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Mandipropamid/PesticideDB_curation_Mandipropamid_20260707
Mandipropamid,APPROVED: 31 October 2018,10.2903/j.efsa,2025,,Gene/enzyme and pathway/metabolite evidence,Setting of an import tolerance for mandipropamid in cocoa beans..pdf,"Bouza Abstract In accordance with Article 6 of Regulation (EC) No 396/2005, the applicant Syngenta Agro GmbH submitted a request to the competent national authority in Austria to set a maximum residue level (MRL) for the active substance mandipropamid in cocoa beans imported from Nigeria and Cameroon. The data submitted in support of the request were found to be sufﬁcient to derive a MRL proposal of 0.06 mg/kg. Adequate analytical methods for enforcement are available to control the residues of mandipropamid on the commodity under consideration at the validated limit of quantiﬁcation (LOQ) of 0.01 mg/kg. Based on the risk assessment results, EFSA concluded that the long-term intake of residues resulting from the use of mandipropamid according to the reported agricultural practice is unlikely to present a risk to consumer health. The consumer risk assessment is affected by non-standard un",22,14,37,94,20,4,4,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Mandipropamid/PesticideDB_curation_Mandipropamid_20260707
Penthiopyrad,"Dissipation, Residue and Dietary Intake Risk Assessment of",10.3390/foods11213327,2022,,Gene/enzyme and pathway/metabolite evidence,"Dissipation, Residue and Dietary Intake Risk Assessment of Penthiopyrad in Eggplants and Its Removal Using Various Household Processing Techniques..pdf","as further estimated after different household processing methods. Penthiopyrad dissipated quickly in eggplants, with half-lives of 1.85–2.56 days. The final residue data indicated that following the recommended spraying method, penthiopyrad would not threaten human health. Risk quotient results (<<100%) also demonstrated that the dietary intake risk of penthiopyrad in eggplants for Chinese consumers could be negligible. Washing, peeling and thermal treatments had significant removal effects on penthiopyrad from eggplants (0 < processing factor < 0.60). The characterization of the dissipation and distribution of penthiopyrad in field and processed eggplant samples could provide a more realistic reference for risk assessment of processed products, as well as some information for humans who may be exposed to penthiopyrad. Citation: Dou, L.; Mu, S.; Yang, G.; Chang, J.; Zhang, K. Dissipatio",23,8,46,148,10,8,7,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Penthiopyrad/PesticideDB_curation_Penthiopyrad_20260707
Penthiopyrad,Food Chemistry 387 (2022) 132875,10.1002/ps.2287,2022,,Gene/enzyme and pathway/metabolite evidence,"Dissipation, residue, stereoselectivity and dietary risk assessment of penthiopyrad and metabolite PAM on cucumber and tomato in greenhouse and field..pdf","Food Chemistry 387 (2022) 132875 Contents lists available at ScienceDirect Food Chemistry journal homepage: www.elsevier.com/locate/foodchem Dissipation, residue, stereoselectivity and dietary risk assessment of penthiopyrad and metabolite PAM on cucumber and tomato in greenhouse and field Guangqian Yang , Jianmin Li , Tingting Lan , Li Dou , Kankan Zhang * State Key Laboratory Breeding Base of Green Pesticide and Agricultural Bioengineering, Key Laboratory of Green Pesticide and Agricultural Bioengineering, Ministry of Education, Guizhou University, Guiyang 550025, China A R T I C L E I N F O A B S T R A C T Keywords: Penthiopyrad is a broad-spectrum fungicide with wide application in agriculture with preferential",14,5,23,119,15,18,0,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Penthiopyrad/PesticideDB_curation_Penthiopyrad_20260707
Penthiopyrad,Comparative Biological Half-Life of Penthiopyrad and,10.3390/foods13111742,2024,of Tetranychus urticae Koch,Gene/enzyme and pathway/metabolite evidence,Comparative Biological Half-Life of Penthiopyrad and Tebufenpyrad in Angelica Leaves and Establishment of Pre-Harvest Residue Limits (PHRLs)..pdf,"eeded 10 (n = 4). The calibration curve ranged from 0.0025–0.25 mg/L, which corresponds to 0.005–0.5 mg/kg in angelica leaves. No weighting factor was utilized. The correlation coefficients (r2 ) of 0.9999 were observed for both pesticides, indicating a satisfactory level of linearity. The recovery study was conducted at 0.01 and 0.1 mg/kg, as well as at the concen trations of the MRL. Following the SANTE guidelines (70–120% with RSD ≤ 20%) [32], the results showed acceptable average values for penthiopyrad; 104.1, 94.5, and 99.6% (with RSD ≤ 2.0%), and for tebufenpyrad; 107.1, 108.1, and 104.1% (with RSD ≤ 2.6%). The tebufenpyrad recovery at 20 mg/kg, which exceeded the highest calibration point, was additionally confirmed due to the residue study. The dilution method for tebufen pyrad demonstrated accuracy by achieving a recovery rate of 111.4% (RSD 2.0%). The storage stability study w",7,3,34,111,4,7,5,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Penthiopyrad/PesticideDB_curation_Penthiopyrad_20260707
Penthiopyrad,APPROVED: 27 July 2021,10.2903/j.efsa,2025,DSMZ 13134 in or; VC1; VX1,Gene/enzyme and pathway/metabolite evidence,Review of the existing maximum residue levels for penthiopyrad according to Article 12 of Regulation (EC) No 3962005..pdf,"the UK and the EURLs, and taking into account the conclusions derived by EFSA in the framework of Commission Regulation (EU) No 188/2011 and the MRLs established by the Codex Alimentarius Commission, EFSA prepared in April 2021 a draft reasoned opinion, which was circulated to Member States and EURLs for consultation via a written procedure. Comments received by 13 May 2021 were considered during the ﬁnalisation of this reasoned opinion. The following conclusions are derived. The metabolism of penthiopyrad in plants was investigated in primary and rotational crops. There was no preferential isomeric degradation in plant commodities. According to the results of the metabolism studies, the residue deﬁnition for enforcement is proposed as penthiopyrad while for risk assessment, two residue deﬁnitions are proposed: (1) sum of penthiopyrad and metabolite 753-A-OH, expressed as penthiopyrad a",246,127,261,340,11,5,4,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Penthiopyrad/PesticideDB_curation_Penthiopyrad_20260707
Penthiopyrad,ISSN 1615-9306 · JSSCCJ 45 (2) 2022 · Vol. 45 · No. 2 · January 2022,10.1002/jssc.202100446,2025,,Gene/enzyme and pathway/metabolite evidence,"Simultaneous determination of penthiopyrad enantiomers and its metabolite in vegetables, fruits, and cereals using ultra-high performance liquid chromatography-tandem mass spectrometry..pdf","://analyticalsciencejournals.onlinelibrary.wiley.com/doi/10.1002/jssc.202100446 by Saru Gurung - Sun Moon University , Wiley Online Library on [10/06/2025]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License Received: 15 June 2021 Revised: 25 October 2021 Accepted: 26 October 2021 DOI: 10.1002/jssc.202100446 RESEARCH ARTICLE Simultaneous determination of penthiopyrad enantiomers and its metabolite in vegetables, fruits, and cereals using ultra-high performance liquid chromatography–tandem mass spectrometry Tingting Zhao2 Yu Liu2 Hongwu Liang2 Li Li1 Kaiwei Shi4 Jia Wang2 Yuke Zhu3 Cheng Ma3 1 College of Plant Protection, Shanxi Agricultural University, Taiyuan, Penthiopyrad is a novel succinate dehydrogenase inhibitor that has one chiral P. R. Chi",38,4,42,106,27,4,5,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Penthiopyrad/PesticideDB_curation_Penthiopyrad_20260707
Phosmet,"5990 J. Agric. Food Chem. 2003, 51, 5990−5995",10.1021/jf034253y,2003,,Gene/enzyme and pathway/metabolite evidence,"Photolysis experiments on phosmet, an organophosphorus insecticide..pdf","5990 J. Agric. Food Chem. 2003, 51, 5990−5995 Photolysis Experiments on Phosmet, an Organophosphorus Insecticide KATRIN SINDERHAUF AND WOLFGANG SCHWACK* Institut für Lebensmittelchemie, Universität Hohenheim, Garbenstrasse 28, D-70593 Stuttgart, Germany The organophosphorus insecticide phosmet is used in plant protection as well as against parasites on animals. Phosmet showed numerous photoinduced reaction pathways, which first were studied in the presence of model environments for animal fur lipids (e.g., wool wax). The model solvents for saturated and unsaturated lipids were cyclohexane and cyclohexene, whereas methanol and 2-propanol were used as models for primary and secondary alcohol moieties of lipids. The measured degradation rates over an irradiation period of 7 h in all sol",51,6,114,62,28,8,2,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Phosmet/PesticideDB_curation_Phosmet_20260707
Phosmet,"9608 J. Agric. Food Chem. 2006, 54, 9608−9613",10.1021/jf0616210,2006,,Gene/enzyme and pathway/metabolite evidence,Evaluation of chemical and photochemical oxidation processes for degradation of phosmet on lowbush blueberries (Vaccinium angustifolium)..pdf,"9608 J. Agric. Food Chem. 2006, 54, 9608−9613 Evaluation of Chemical and Photochemical Oxidation Processes for Degradation of Phosmet on Lowbush Blueberries (Vaccinium angustifolium) KRISTI M. CROWE,* ALFRED A. BUSHWAY, RODNEY J. BUSHWAY, AND RUSSELL A. HAZEN Department of Food Science and Human Nutrition, 5735 Hitchner Hall, University of Maine, Orono, Maine 04469-5735 Chemical and photochemical oxidation processes were evaluated for their ability to degrade residual phosmet on lowbush blueberries and for their role in the conversion of phosmet to phosmet oxonsa toxic metabolite of phosmet. Chemical processes included 1 ppm",116,4,49,151,40,10,4,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Phosmet/PesticideDB_curation_Phosmet_20260707
Phosmet,Heterogeneous Reaction of Suspended Phosmet Particles with,10.1021/jp205175p,2011,,Gene/enzyme and pathway/metabolite evidence,Heterogeneous reaction of suspended phosmet particles with NO3 radicals..pdf,"ARTICLE pubs.acs.org/JPCA Heterogeneous Reaction of Suspended Phosmet Particles with NO3 Radicals Changgeng Liu, Jie Gan, Yang Zhang, Miao Liang, Xi Shu, Jinian Shu, and Bo Yang* Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Beijing 100085, China ABSTRACT: As an organophosphorous insecticide, phosmet is widely used for plant protection as well as against the ectoparasites on productive livestock. It emits into the atmosphere in both gas and particulate phases via spray drift from treatments and postapplication emissions, but its degradation in the atmosphere is not well-known up to now. In this study, the heterogeneous reaction of phosmet absorbed on the azelaic acid particles with NO3 radicals is investigated in real-time using a vacuum ultraviolet photoionization aerosol time-of-ﬂight mas",14,15,54,71,14,5,24,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Phosmet/PesticideDB_curation_Phosmet_20260707
Phosmet,"Toxicology Research, 2021, 10, 983–991",10.1002/etc.5620200104,2021,,Gene/enzyme and pathway/metabolite evidence,Toxicity and biochemical responses induced by phosmet in rainbow trout (iOncorhynchus mykissi)..pdf,"ace water [2]. Unintended consequences, however, including Phosmet, O,O-dimethyl S-phthalimidomethyl phosphorodithioate, reproductive and teratogenic effects have been stated [3, 4]. is a broad-spectrum and non-systemic organophosphorus Phosmet residues have also been reported in fruits, potato, olive insecticide exerting its toxic action by direct contact, inhalation oil and honey [5–7]. and ingestion. It was first registered in the USA in 1966, and it is As an organophosphate, toxic action of phosmet originates used in many countries in Europe, Middle East, Africa and USA from the anticholinesterase activity causing neurotransmitter against wide variety of pests in agriculture and to treat flea, tick acetylcholine (ACh) to accumulate at cholinergic synapses. The and mite in pets [1]. In our country, it is mainly used on apple, build-up of ACh leads muscarinic and nicotinic toxicity due",11,51,13,43,1,2,29,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Phosmet/PesticideDB_curation_Phosmet_20260707
Phosmet,JFS M: Food Microbiology and Safety,10.1111/j.1750-3841.2007.00466.x,2025,B-14; B-14 and its use; B-14 organohalide compounds they; M6 and cloning of; and evidence for plasmid; ceased degrading chlorpyri- Horne,Gene/enzyme and pathway/metabolite evidence,Microbial degradation of phosmet on blueberry fruit and in aqueous systems by indigenous bacterial flora on lowbush blueberries (Vaccinium angustifolium)..pdf,"JFS M: Food Microbiology and Safety Microbial Degradation of Phosmet on Blueberry Fruit and in Aqueous Systems by Indigenous Bacterial Flora on Lowbush Blueberries (Vaccinium angustifolium) K.M. CROWE, A.A. BUSHWAY, R.J. BUSHWAY, AND K. DAVIS-DENTICI ABSTRACT: Phosmet-adapted bacteria isolated from lowbush blueberries (Vaccinium angustifolium) were evalu ated for their ability to degrade phosmet on blueberry fruit and in minimal salt solutions. Microbial metabolism of phosmet by isolates of Enterobacter agglomerans and Pseudomonas fluorescens resulted in signifi",144,13,33,185,32,39,0,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Phosmet/PesticideDB_curation_Phosmet_20260707
Pinoxaden,Degradation Characteristics of Pinoxaden by,10.21203/rs.3.rs-1375498/v1,2022,Acinetobacter pittii was screened; Colony morphology of strain; Genomic DNA was extracted; Gram staining; High performance liquid chromatography; T1P20-3 Strain T3P20-1 had,Gene/enzyme and pathway/metabolite evidence,Degradation Characteristics of Pinoxaden by Acinetobacter and Prediction of Related Genes.pdf,"Degradation Characteristics of Pinoxaden by Acinetobacter and Prediction of Related Genes Fengshan Yang Heilongjiang University Yuning Wei Heilongjiang University Cong Sun Heilongjiang University Mingrui Yuan Heilongjiang University Weimin Zeng Heilongjiang University Chunguang Liu (  2005013@hlju.edu.cn ) Heilongjiang University https://orcid.org/0000-0002-6186-6022 Haiyan Fu Heilongjiang University Research Article Keywords: acinetobacter, degrading bacteria, degradation rate, degradation genes, pinoxaden, genome sequencing Posted",78,80,18,81,29,36,11,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Pinoxaden/PesticideDB_curation_Pinoxaden_20260707
Pinoxaden,APPROVED: 1 March 2021,10.2903/j.efsa.2013,2025,,Gene/enzyme and pathway/metabolite evidence,Review of the existing maximum residue levels for pinoxaden according to Article 12 of Regulation (EC) No 3962005..pdf,"enforcement of the proposed residue deﬁnition option 1 at the combined limit of quantiﬁcation (LOQ) of 0.03 mg/kg in dry commodities and 0.05 mg/kg in high water content commodities. For the option 2, the combined LOQ of 0.03 mg/kg in all four main plant matrices was demonstrated to be achievable by multi-residue methods. According to the EURLs, the combined LOQ of 0.03 mg/kg is achievable for RD-Mo options 1 and 2 in routine analyses. Analytical standards are commercially available for parent pinoxaden, but not for metabolites M4 and M6. The available data are considered sufﬁcient to derive two sets of MRL proposals according to the two options for the residue deﬁnition for enforcement, for all commodities under evaluation. Residue trials analysing simultaneously for monitoring option 2 and risk assessment residue deﬁnitions were not available; however, since only one risk assessment r",128,14,107,160,13,0,4,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Pinoxaden/PesticideDB_curation_Pinoxaden_20260707
Pinoxaden,Received: 21 December 2010 Revised: 3 April 2011 Accepted: 12 April 2011 Published online in Wiley Online Library: 8 June 2011,10.1002/ps.2204,2025,,Gene/enzyme and pathway/metabolite evidence,"Aryldiones incorporating a [1,4,5]oxadiazepane ring. Part 2 chemistry and biology of the cereal herbicide pinoxaden..pdf","on pattern, a dione area suitable for proherbicide formation and beneficial adjuvant effects. The uptake and translocation pattern of pinoxaden when coapplied with its tailored adjuvant were analysed by autoradiography, indicating extensive and rapid penetration, followed by effective distribution throughout the plant. Crop injury reduction on incorporation of the [1,4,5]oxadiazepane ring into the aryldione template was reinforced with safener technology. Comparative studies on the behaviour of pinoxaden applied either alone or in combination with the safener cloquintocet-mexyl demonstrated that addition of the safener resulted in significant enhancement of metabolic degradation in wheat and barley, providing excellent crop tolerance and a substantial selectivity margin without adverse effects on weed control. CONCLUSION: The biological potential of pinoxaden and its active principle pin",35,23,58,91,9,1,2,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Pinoxaden/PesticideDB_curation_Pinoxaden_20260707
Propamocarb,"Bull. Environm. Contain. Toxicol. 27, 529-533 (1981)",,1981,,Gene/enzyme and pathway/metabolite evidence,"Microbial degradation of the carbamate pesticides desmedipham, phenmedipham, promecarb, and propamocarb..pdf","Bull. Environm. Contain. Toxicol. 27, 529-533 (1981) Microbial Degradation of the Carbamate Pesticides Desmedipham, Phenmedipham, Promecarb, and Propamocarb 1 Charles O. Knowles and Herman J. Benezet Department of Entomology, University of Missouri, Columbia, MO 65211 Many chemicals used to control pests come into contact with soil where they are attacked by various chemical and biological agents that can influence their bioactivity and persistence. Soil microorganisms play an important role in this connection. Depending upon the molecular configuration of the pesticide, microbial attack can increase or decrease bioactivity. With regard to persiste",16,1,9,9,8,9,1,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Propamocarb/PesticideDB_curation_Propamocarb_20260707
