pesticide,current_pathway_status,stepwise_arrow_count,folder_found,real_pdf_count,html_placeholder_count,top_candidate_papers,doi_candidates_from_queue,automated_evidence_signal,needed_information_for_kegg_like_arrow,recommended_next_action,sample_files_from_usb_folder
Etoxazole,Full-text re-download needed,0,Yes,0,4,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Chiral_Separation_and_Determination_of_Etoxazole_Enantiomers_in_Vegetables_by_No.pdf | Crystal_structure_and_Hirshfeld_surface_analysis_of_the_pesticide_etoxazole_.pdf | Peer_review_of_the_pesticide_risk_assessment_of_the_active_substance_etoxazole_.pdf | Residue_Behaviors_and_Degradation_Dynamics_of_Insecticides_Commonly_Applied_to__.pdf
Fenamiphos,Needs stepwise product/intermediate screening (folder has readable PDFs),0,Yes,3,0,,,,"Substrate, product/intermediate, transformation type, gene/protein/enzyme if reported, organism, DOI/reference.",Screen the strongest papers for identified metabolites/products and convert supported reactions into pathway steps.,"Analytical method validation, dissipation and safety evaluation of combination fungicides fenamidoneâ€‰+â€‰mancozeb and iprovalicarbâ€‰+â€‰propineb inon tomato..pdf | Determination of famoxadone, fenamidone, fenhexamid and iprodione residues in greenhouse tomatoes..pdf | Dynamics and residues of mixed formulation of fenamidone and mancozeb in gherkin field ecosystem..pdf"
Fenhexamid,Full-text re-download needed,0,Yes,0,6,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Endocrine_disruptors_fludioxonil_and_fenhexamid_stimulate_miR_21_expression_in_b.pdf | Highly_sensitive_voltammetric_determination_of_the_fungicide_fenhexamid_using_a_.pdf | In_vitro_metabolism_of_tebuconazole__flurtamone__fenhexamid__metalaxyl_M_and_spi.pdf | Modification_of_the_existing_maximum_residue_levels_for_fenhexamid_in_various_cr.pdf
Fenitrothion,Full-text re-download needed,0,Yes,0,46,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | _i_Solanum_Nigrum__i__Fruit_Extract_Increases_Toxicity_of_Fenitrothion_A_Synthet.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Review_on_the_Degradation_of_Pollutants_by_Fenton_Like_Systems_Based_on_Zero_V.pdf
Fenpropathrin,Full-text re-download needed,0,Yes,0,25,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | _i_Punica_granatum__i___Pomegranate__Peel_Extract_Pre_Treatment_Alleviates_Fenpr.pdf | Ameliorative_effects_of_date_palm_kernel_extract_against_fenpropathrin_induced_m.pdf | Antioxidant_Role_of__i_PcGSTd1__i__in_Fenpropathrin_Resistant_Population_of_the_.pdf
Fenvalerate,Stepwise pathway integrated,3,Yes,0,25,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | Aerobic_degradation_of_fenvalerate_by_a_Gram_positive_bacterium___i_Bacillus_fle.pdf | An_endocrine_disrupting_chemical__fenvalerate__induces_cell_cycle_progression_an.pdf | Biodegradation_and_metabolic_pathway_of_fenvalerate_by_Citrobacter_freundii_CD_9.pdf
Fipronil,Stepwise pathway integrated,2,Yes,0,50,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,A_GABA_Receptor_Modulator_and_Semiochemical_Compounds_Evidenced_Using_Volatolomi.pdf | Activated_carbon_as_a_means_of_limiting_bioaccumulation_of_organochlorine_pestic.pdf | Ameliorative_Effects_of_Boswellic_Acid_on_Fipronil_Induced_Toxicity__Antioxidant.pdf | Arylpyrrole_and_fipronil_analogues_that_inhibit_the_motility_and_or_development_.pdf
Flonicamid,Stepwise pathway integrated,2,Yes,0,18,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,Biodegradation_of_flonicamid_by_Ensifer_adhaerens_CGMCC_6315_and_enzymatic_chara.pdf | Efficient_Biodegradation_of_the_Neonicotinoid_Insecticide_Flonicamid_by_Pseudami.pdf | Intergenerational_Sublethal_Effects_of_Flonicamid_on_Cotton_Aphid___i_Aphis_goss.pdf | Metabolic_Profiling_and_Comparative_Proteomic_Insight_in_Respect_of_Amidases_dur.pdf
Fluazinam,Full-text re-download needed,0,Yes,0,5,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Comparative_Transcriptome_Analysis_Reveals_the_Mechanism_Related_to_Fluazinam_St.pdf | Conclusion_regarding_the_peer_review_of_the_pesticide_risk_assessment_of_the_act.pdf | Dissipation_and_Residue_Pattern_of_Dinotefuran__Fluazinam__Indoxacarb__and_Thiac.pdf | Modification_of_the_existing_maximum_residue_levels_for_fluazinam_in_onions__sha.pdf
Flubendiamide,Full-text re-download needed,0,Yes,0,12,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_monoclonal_antibody_based_indirect_competitive_enzyme_linked_immunosorbent_ass.pdf | Biodegradation_of_flubendiamide_by_a_newly_isolated_Chryseobacterium_sp__strain_.pdf | Biodegradation_of_pesticide_in_agricultural_soil_employing_entomopathogenic_fung.pdf | De_novo_transcriptome_and_expression_profile_analyses_of_the_Asian_corn_borer__O.pdf
Fludioxonil,Full-text re-download needed,0,Yes,0,19,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_Fungicide__Fludioxonil__Formed_the_Polyploid_Giant_Cancer_Cells_and_Induced_Me.pdf | Aggressiveness_and_Patulin_Production_in__i_Penicillium_expansum__i__Multidrug_R.pdf | Combining_Culture_Dependent_and_Independent_Approaches_for_the_Optimization_of_E.pdf | Degradation_of_Pesticide_Residues_in_Water__Soil__and_Food_Products_via_Cold_Pla.pdf
Fluxapyroxad,Needs stepwise product/intermediate screening (candidate papers available),0,Yes,9,0,Investigation of Residue Dissipation of Fluxapyroxad and Its Metabolites in Chinese Cabbage and Spring Scallion Using Different Application Methods..pdf | Dissipation kinetics and biological degradation by yeast and dietary risk assessment of fluxapyroxad in apples..pdf | Degradation of Fluxapyroxad in Soils and WaterSediment Systems Under Aerobic or Anaerobic Conditions..pdf | Modification of the existing maximum residue levels for fluxapyroxad in kakiJapanese persimmons and cultivated mushrooms..pdf | Setting of import tolerances for fluxapyroxad in certain root crops and coffee beans..pdf,10.3390/plants13172448 | 10.1038/s41598-020-78177-6; 10.1186/1475-2891-3-5; 10.1371/journ | 10.1007/s00128-015-1556-y; 10.2166/WPT.2006084 | 10.2903/j.efsa.2024.8696 | 10.2903/j.efsa; 10.2903/j.efsa.2007.32r; 10.2903/j.efsa.2011.2196; 10.2903/j.efsa.2013.3312,candidate_gene/enzyme_plus_pathway,"Substrate, product/intermediate, transformation type, gene/protein/enzyme if reported, organism, DOI/reference.",Screen the strongest papers for identified metabolites/products and convert supported reactions into pathway steps.,"A Nationwide Study of Residual Fate of Fluxapyroxad and Its Metabolites in Peanut Crops Across China Assessment of Human Exposure Potential..pdf | Accumulation and growth toxicity mechanisms of fluxapyroxad revealed by physiological, hepatopancreas transcriptome, and gut microbiome analysis in Pacific white shrimp (Litopenaeus vannamei)..pdf | Degradation of Fluxapyroxad in Soils and WaterSediment Systems Under Aerobic or Anaerobic Conditions..pdf | Dissipation kinetics and biological degradation by yeast and dietary risk assessment of fluxapyroxad in apples..pdf"
Folpet,Full-text re-download needed,0,Yes,0,9,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Atmospheric_oxidation_of_Folpet_initiated_by_OH_radicals__NO_sub_3__sub__radical.pdf | Degradation_of_metalaxyl_and_mefenoxam_and_effects_on_the_microbiological_proper.pdf | Low_temperatures_lead_to_higher_toxicity_of_the_fungicide_folpet_to_larval_stage.pdf | Modification_of_the_existing_maximum_residue_level_for_folpet_in_lettuces_.pdf
Glufosinate-Ammonium,Stepwise pathway integrated,2,Yes,18,0,"Accumulation, metabolites formation and elimination behavior of rac-glufosinate-ammonium and glufosinate-P in zebrafish (Danio rerio)..pdf | Comparing toxicity and biodegradation of racemic glufosinate and L-glufosinate in green algae Scenedesmus obliquus..pdf | Persistence and leachability of glufosinate-ammonium in a northern Ontario terrestrial environment..pdf | Multiple effects of the herbicide glufosinate-ammonium and its main metabolite on neural stem cells from the subventricular zone of newborn mice..pdf | Effects of L-Glufosinate-ammonium and temperature on reproduction controlled by neuroendocrine system in lizard (Eremias argus)..pdf",10.1002/etc.5620170713; 10.1007/978-1; 10.1007/978-1-4612-2672-7_4; 10.1007/s00216-008 | 10.1002/chir.22018; 10.1002/etc; 10.1002/etc.2613; 10.1002/ps | 10.1001/jamaneurol.2013.6030; 10.1002/glia.20965; 10.1002/mrdd.10033; 10.1007/s00401-009-0624-y | 10.1016/j.envpol.2019.113564,candidate_gene/enzyme_plus_pathway,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,"Accumulation, metabolites formation and elimination behavior of rac-glufosinate-ammonium and glufosinate-P in zebrafish (Danio rerio)..pdf | Casein Kinase 2 Mediates Degradation of Transcription Factor Pcf1 during Appressorium Formation in the Rice Blast Fungus..pdf | Chromatographic Methods for the Determination of Glyphosate in Cereals Together with a Discussion of Its Occurrence, Accumulation, Fate, Degradation, and Regulatory Status..pdf | Co-option of an extracellular protease for transcriptional control of nutrient degradation in the fungus Aspergillus nidulans..pdf"
Glyphosate,Stepwise pathway integrated,3,Yes,1,242,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | _i_Bacillus_aryabhattai__i__FACU__A_promising_bacterial_strain_capable_of_manipu.pdf | _i_Stenotrophomonas_pavanii__i__MY01_induces_phosphate_precipitation_of_Cu_II__a.pdf | A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf
Haloxyfop,Full-text re-download needed,0,Yes,0,8,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Chiral_method_validation_and_stereoselective_degradation_of_profoxydim_isomers_i.pdf | Dynamics_of_the_Degradation_of_Acetyl_CoA_Carboxylase_Herbicides_in_Vegetables_.pdf | Impact_of_biochar_on_the_degradation_rates_of_three_pesticides_by_vegetables_and.pdf | Molecular_basis_for_enantioselective_herbicide_degradation_imparted_by_aryloxyal.pdf
Heptachlor,Full-text re-download needed,0,Yes,0,20,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Anaerobic_biodegradation_of_chlorophenols_in_fresh_and_acclimated_sludge_.pdf | Bacterial_degradation_of_aromatic_compounds_.pdf | Biochar_in_co_contaminated_soil_manipulates_arsenic_solubility_and_microbiologic.pdf | Biodegradability_and_biodegradation_pathways_of_chlorinated_cyclodiene_insectici.pdf
Imazamox,Stepwise pathway integrated,3,Yes,18,0,Characterization of imazamox degradation by-products by using liquid chromatography mass spectrometry and high-resolution Fourier transform ion cyclotron resonance mass spectrometry..pdf | Relationship between changes of soil microbial biomass content and imazamox and benfluralin degradation.pdf | Behavior of the Chiral Herbicide Imazamox in Soils Enantiomer Composition Differentiates between Biodegradation and Photodegradation..pdf | Development of a new test design to investigate the degradation of pesticides in soil under sunlight conditions.pdf | Survey of ACCase and ALS resistance in winter annual grasses identifies target-site and nontarget-site imazamox resistance in Secale cereale..pdf,10.1007/s00216-007-1343-7 | 10.1007/s00374-001-0433-5 | 10.1021/acs.est.8b07209; 10.1021/acs.est.8b07210 | 10.1186/s12302-024-00974-x | 10.1002/ps.7154,candidate_gene/enzyme_plus_pathway,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,"Adsorption and degradation of imazapic in soils under different environmental conditions..pdf | Analysis of the Photodegradation of the Imidazolinone Herbicides Imazamox, Imazapic, Imazaquin, and Imazamethabenz-methyl in Aqueous Solution..pdf | Application of an Enzymatic Hydrolysed L-α-Amino Acid Based Biostimulant to Improve Sunflower Tolerance to Imazamox.pdf | Behavior of imidazolinone herbicide enantiomers in earthworm-soil microcosms Degradation and bioaccumulation..pdf"
Imazethapyr,Full-text re-download needed,0,Yes,0,6,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Adsorption_and_degradation_of_imazapic_in_soils_under_different_environmental_co.pdf | Enantioselective_phytotoxicity_of_the_herbicide_imazethapyr_on_the_response_of_t.pdf | Ethylene_Biosynthesis_Inhibition_Combined_with_Cyanide_Degradation_Confer_Resist.pdf | Herbicidal_Ionic_Liquids__A_Promising_Future_for_Old_Herbicides__Review_on_Synth.pdf
Imidacloprid,Stepwise pathway integrated,2,Yes,1,75,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Ability_of__i_Lactobacillus_brevis__i__47f_to_Alleviate_the_Toxic_Effects_of_Imi.pdf | Absorption_and_Distribution_of_Imidacloprid_and_Its_Metabolites_in_Goldfish___i_.pdf | Aerobic_Degradation_of_Clothianidin_to_2_Chloro_methyl_Thiazole_and_Methyl_3__Th.pdf
Indoxacarb,Full-text re-download needed,0,Yes,0,19,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_systemic_study_of_indoxacarb_resistance_in_Spodoptera_litura_revealed_complex_.pdf | Behavioral_and_Transcriptomic_Analyses_in_the_Indoxacarb_Response_of_a_Non_Targe.pdf | Characterization_of_Indoxacarb_Resistance_in_the_Fall_Armyworm__Selection__Inher.pdf | Characterization_of_Spodoptera_littoralis__Lepidoptera__Noctuidae__resistance_to.pdf
Iprodione,Stepwise pathway integrated,3,Yes,0,18,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,An_Amidase_Gene___i_ipaH__i___Is_Responsible_for_the_Initial_Step_in_the_Iprodio.pdf | Biodegradation_of_Iprodione_and_Chlorpyrifos_Using_an_Immobilized_Bacterial_Cons.pdf | Biodegradation_of_pesticide_in_agricultural_soil_employing_entomopathogenic_fung.pdf | Carbamate_C_N_Hydrolase_Gene__i_ameH__i__Responsible_for_the_Detoxification_Step.pdf
Isopyrazam,Stepwise pathway integrated,4,Yes,5,0,Simultaneous Determination of the Residues of Isopyrazam Isomers and Their Metabolites in Soil and Tomatoes by Ultraperformance Liquid Chromatography-Tandem Mass Spectrometry..pdf | Review of the existing maximum residue levels for isopyrazam according to Article 12 of Regulation (EC) No 3962005..pdf | Fungicide isopyrazam degradative response toward extrinsically added fungal and bacterial strains..pdf | The behavior of isopyrazam in aquatic ecosystems implementation of a tiered investigation..pdf | Surface water mineralization of isopyrazam according to OECD 309 observations on implementation of the new data requirement within agrochemical regulation..pdf,10.1021/acs.jafc.0c02081 | 10.2903/j.efsa.2010.1785; 10.2903/j.efsa.2011.2134; 10.2903/j.efsa.2012; 10.2903/j.efsa.2013.3165 | 10.1002/jobm.201900687; 10.1080/03067319.2019.1700965 | 10.1002/etc.337 | 10.1002/etc.2490,candidate_gene/enzyme_plus_pathway,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,Fungicide isopyrazam degradative response toward extrinsically added fungal and bacterial strains..pdf | Review of the existing maximum residue levels for isopyrazam according to Article 12 of Regulation (EC) No 3962005..pdf | Simultaneous Determination of the Residues of Isopyrazam Isomers and Their Metabolites in Soil and Tomatoes by Ultraperformance Liquid Chromatography-Tandem Mass Spectrometry..pdf | Surface water mineralization of isopyrazam according to OECD 309 observations on implementation of the new data requirement within agrochemical regulation..pdf
Isoxaflutole,Full-text re-download needed,0,Yes,0,3,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Changed_degradation_behavior_of_pesticides_when_present_in_mixtures_.pdf | Comparison_of_transcriptome_responses_to_glyphosate__isoxaflutole__quizalofop_p_.pdf | Ecotoxicological_Evaluation_of_Safener_and_Antimicrobial_Additives_in_Isoxafluto.pdf
Lindane,Stepwise pathway integrated,1,Yes,0,35,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,A_Review_of_Microalgae__and_Cyanobacteria_Based_Biodegradation_of_Organic_Pollut.pdf | A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Adsorption_of_lindane__γ_hexachlorocyclohexane__on_nickel_modified_graphitic_car.pdf | Advanced_photocatalytic_materials_based_degradation_of_micropollutants_and_their.pdf
Malathion,Stepwise pathway integrated,1,Yes,2,49,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Novel_Organophosphorus_Acid_Anhydrolase_from_Deep_Sea_Sediment_with_High_Degra.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Alleviation_of_Malathion_Toxicity_Effect_by__i_Coffea_arabica__i__L__Oil_and__i_.pdf
Mandipropamid,Stepwise pathway integrated,7,Yes,11,0,"Indigenous functional microbial degradation of the chiral fungicide mandipropamid in repeatedly treated soils Preferential changes in the R-enantiomer..pdf | Review of the existing maximum residue levels for mandipropamid according to Article 12 of Regulation (EC) NoÂ 3962005..pdf | Insights on the isolation, identification, and degradation characteristics of three bacterial strains against mandipropamid and their application potential for polluted soil remediation..pdf | Setting of an import tolerance for mandipropamid in cocoa beans..pdf | Modification of the existing maximum residue levels for mandipropamid in various crops..pdf",10.1016/j.jhazmat.2022.128961 | 10.2903/j.efsa; 10.2903/j.efsa.2007.32r; 10.2903/j.efsa.2009; 10.2903/j.efsa.2011.2013 | 10.1016/j.pestbp.2023.105376 | 10.2903/j.efsa; 10.2903/j.efsa.2018.5147; 10.2903/j.efsa.2018.5284; 10.2903/j.efsa.2018.5491 | 10.2903/j.efsa; 10.2903/j.efsa.2007.32r; 10.2903/j.efsa.2018; 10.2903/j.efsa.2018.5284,candidate_gene/enzyme_plus_pathway,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,"Effects of Household Processing on Residues of the Chiral Fungicide Mandipropamid in Four Common Vegetables..pdf | Indigenous functional microbial degradation of the chiral fungicide mandipropamid in repeatedly treated soils Preferential changes in the R-enantiomer..pdf | Insights on the isolation, identification, and degradation characteristics of three bacterial strains against mandipropamid and their application potential for polluted soil remediation..pdf | Mandipropamid as a chemical inducer of proximity for in vivo applications..pdf"
MCPA,Stepwise pathway integrated,1,Yes,0,0,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,
Mesotrione,Full-text re-download needed,0,Yes,0,25,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Adsorption_and_degradation_of_imazapic_in_soils_under_different_environmental_co.pdf | Aquatic_Macrophytes_in_the_Remediation_of_Atrazine_in_Water__A_Study_on_Herbicid.pdf | Atrazine__triketone_herbicides__and_their_degradation_products_in_sediment__soil.pdf | Bacillus_megaterium_strains_derived_from_water_and_soil_exhibit_differential_res.pdf
Metalaxyl,Full-text re-download needed,0,Yes,0,25,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Applying_the_Crystalline_Sponge_Method_to_Agrochemicals__Obtaining_X_ray_Structu.pdf | Characterizing_the_Mechanisms_of_Metalaxyl__Bronopol_and_Copper_Sulfate_against_.pdf | Conclusion_on_the_peer_review_of_the_pesticide_risk_assessment_of_the_active_sub.pdf
Methamidophos,Stepwise pathway integrated,1,Yes,0,19,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | Aflatoxin_B₁_degradation_by_a_Pseudomonas_strain_.pdf | Biodegradation_of_pesticide_in_agricultural_soil_employing_entomopathogenic_fung.pdf | Biodegradation_of_Uric_Acid_by__i_Bacillus_paramycoides__i__YC02_.pdf
Methomyl,Full-text re-download needed,0,Yes,0,31,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | An_outbreak_of_food_borne_illness_due_to_methomyl_pesticide_intoxication_in_Kore.pdf | Applying_molecular_oxygen_for_organic_pollutant_degradation__Strategies__mechani.pdf | Beneficial_effects_of_folic_acid_on_the_kidneys_and_testes_of_adult_albino_rats_.pdf
Oxamyl,Stepwise pathway integrated,1,Yes,0,21,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,Accelerated_degradation_of_fenamiphos_and_its_metabolites_in_soil_previously_tre.pdf | Carbamate_C_N_Hydrolase_Gene__i_ameH__i__Responsible_for_the_Detoxification_Step.pdf | Coating_Soybean_Seed_with_Oxamyl_for_Control_of_Heterodera_glycines_.pdf | Conserved_Metabolic_and_Evolutionary_Themes_in_Microbial_Degradation_of_Carbamat.pdf
Paraquat,Stepwise pathway integrated,2,Yes,1,196,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | _i_Ginkgo_biloba__i__L__Leaf_Extract_Protects_HepG2_Cells_Against_Paraquat_Induc.pdf | _lt_i_gt_Francisella_tularensis_lt__i_gt__universal_stress_protein_contributes_t.pdf | A_BaTiO_sub_3__sub__WS_sub_2__sub__composite_for_piezo_photocatalytic_persulfate.pdf
Parathion-Methyl,Stepwise pathway integrated,1,Yes,0,116,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | A_Novel_Organophosphorus_Acid_Anhydrolase_from_Deep_Sea_Sediment_with_High_Degra.pdf
Pendimethalin,Stepwise pathway integrated,3,Yes,0,32,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Assessment_of_the_ameliorative_effect_of_curcumin_on_pendimethalin_induced_genet.pdf | Azolla_pinnata_mitigates_pendimethalin_induced_immunotoxicity__oxidative_stress_.pdf | Causation_Analysis_and_Improvement_Strategy_for_Reduced_Pendimethalin_Herbicidal.pdf
Penthiopyrad,Needs stepwise product/intermediate screening (candidate papers available),0,Yes,12,0,"Dissipation, Residue and Dietary Intake Risk Assessment of Penthiopyrad in Eggplants and Its Removal Using Various Household Processing Techniques..pdf | Review of the existing maximum residue levels for penthiopyrad according to Article 12 of Regulation (EC) No 3962005..pdf | Simultaneous determination of penthiopyrad enantiomers and its metabolite in vegetables, fruits, and cereals using ultra-high performance liquid chromatography-tandem mass spectrometry..pdf | Comparative Biological Half-Life of Penthiopyrad and Tebufenpyrad in Angelica Leaves and Establishment of Pre-Harvest Residue Limits (PHRLs)..pdf | Dissipation, residue, stereoselectivity and dietary risk assessment of penthiopyrad and metabolite PAM on cucumber and tomato in greenhouse and field..pdf",10.3390/foods11213327; 10.3390/foods11213327/s1 | 10.2903/j.efsa; 10.2903/j.efsa.2012.2948; 10.2903/j.efsa.2013.3312; 10.2903/j.efsa.2014.3737 | 10.1002/jssc.202100446 | 10.3390/foods13111742 | 10.1002/ps.2287; 10.1007/BF02492120; 10.1016/j; 10.1016/j.agee.2021.107370,candidate_gene/enzyme_plus_pathway,"Substrate, product/intermediate, transformation type, gene/protein/enzyme if reported, organism, DOI/reference.",Screen the strongest papers for identified metabolites/products and convert supported reactions into pathway steps.,"Comparative Biological Half-Life of Penthiopyrad and Tebufenpyrad in Angelica Leaves and Establishment of Pre-Harvest Residue Limits (PHRLs)..pdf | Dissipation, Residue and Dietary Intake Risk Assessment of Penthiopyrad in Eggplants and Its Removal Using Various Household Processing Techniques..pdf | Dissipation, residue, stereoselectivity and dietary risk assessment of penthiopyrad and metabolite PAM on cucumber and tomato in greenhouse and field..pdf | Effect of microorganisms on degradation of fluopyram and tebuconazole in laboratory and field studies..pdf"
Permethrin,Stepwise pathway integrated,3,Yes,0,70,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,Acute_Exposure_to_Permethrin_Modulates_Behavioral_Functions__Redox__and_Bioenerg.pdf | Adult_Mosquito_and_Butterfly_Exposure_to_Permethrin_and_Relative_Risk_Following_.pdf | Bio_efficacy_of_aluminum_phosphide_and_cypermethrin_against_some_physiological_a.pdf | Changes_in_pest_infestation_levels__self_reported_pesticide_use__and_permethrin_.pdf
Phorate,Full-text re-download needed,0,Yes,0,12,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | Biodegradation_of_two_organophosphorus_pesticides_in_whole_corn_silage_as_affect.pdf | Degradation_kinetics_and_physiological_studies_of_organophosphates_degrading_mic.pdf | Degradation_of_Pesticides_Using_Semiconducting_and_Tetrapyrrolic_Macrocyclic_Pho.pdf
