pmid,doi,year,title,journal,authors,publication_types,abstract,manual_review_status
42251779,10.1016/j.micres.2026.128573,2026,Soil microbial functional recovery and community resilience driven by biogenic magnetite nanoparticles under carbendazim stress.,Microbiological research,Leiva-Soto S; Rubilar O; Fincheira P; Fernández-Baldo M; Fernández-Triana; Schoebitz M; Larama G; Rodriguez R,Journal Article,"The persistence of fungicides in agricultural soils poses a major threat to soil health, as these compounds disrupt microbial communities and compromise key ecosystem functions. Carbendazim, a commonly used systemic fungicide, is known for its ability to inhibit microbial activity and nutrient cycling. This study assessed the capacity of biogenic magnetite nanoparticles to mitigate carbendazim-induced disturbance and facilitate the recovery of soil microbial function. Citrate-stabilized magnetite nanoparticles were applied to an agricultural Andisol intentionally contaminated with carbendazim (10 mg kg⁻¹) under controlled microcosm conditions. Soil enzyme activities related to carbon, nitrogen, and phosphorus cycling (β-glucosidase, urease, acid phosphatase), microbial gene abundances (16S rRNA, amoA, amoB copy number), community structure, and pesticide dissipation kinetics were measured for a 30-day period. Magnetite nanoparticles significantly accelerated carbendazim dissipation, reducing their half-life by approximately 50% compared to pesticide-only treatments. Nanoparticle application partially mitigated the inhibitory effects of carbendazim on soil enzymes. It showed trends towards the recovery of bacterial and nitrifier abundances, with community composition and diversity patterns aligning more closely with those of untreated soils. Co-occurrence network and multivariate analyses of the soil bacterial community, assessed through 16S rRNA amplicon sequencing, revealed patterns indicative of a partial restoration of bacterial interaction structure, with Carb/FeNPs-EC treatments showing increased network connectivity and modularity compared to carbendazim-only soils, approaching the interaction patterns characteristic of undisturbed bacterial assemblages. These findings offer preliminary evidence that biogenic magnetite nanoparticles may reduce pesticide pressure in agricultural soils while supporting microbial functional trends indicative of recovery. The use of onion peel waste as an eco-friendly precursor further highlights the circular potential of this approach. Onion peel is a widely generated agro-industrial by-product particularly rich in polyphenolic compounds, especially quercetin and its derivatives, which act as natural reducing and stabilizing agents during nanoparticle biosynthesis, eliminating the need for toxic chemical reagents and contributing to a lower environmental footprint. This dual role as both a waste valorization strategy and a source of bioactive capping agents warrants further evaluation of this approach as a sustainable soil amendment strategy.",Needs manual review before database use
42242526,10.1016/j.envpol.2026.128513,2026,Differential impacts of perfluorobutane sulfonate on earthworm gut and soil microbiota: Linking host gut injury and digestive dysfunction to microbial dysbiosis.,"Environmental pollution (Barking, Essex : 1987)",Fu M; Zou J; Chen W; Zhang W; Feng M; Zhao X; Huang J,Journal Article,"Perfluorobutane sulfonate (PFBS), a representative short-chain perfluoroalkyl substance, is increasingly detected in soils, yet its ecological impacts on the soil-earthworm system remain unclear. This study investigated the effects of 28-d PFBS exposure (0.1, 1, 10 mg/kg) on earthworm (Eisenia fetida) gut health (tissue damage, digestive function, microbiota) and soil environment (microbial community and enzyme activities). Results showed that PFBS caused intestinal epithelial cell atrophy, tissue congestion, and content retention. PFBS exposure significantly increased total protease activity while suppressing cellulase and α-amylase, along with fluctuations in multiple antioxidant enzymes, collectively revealing concurrent digestive dysfunction and oxidative stress in the earthworm gut (p < 0.05). PFBS reduced gut microbial diversity and network complexity, shifted the dominant phylum from Bacillota to Pseudomonadota, and suppressed functions related to nitrogen transformation and xylanolysis. Digestive enzymes were associated with major microbial abundances, while oxidative stress enzymes responded independently of microbial community shifts. Soil microbial diversity and network remained relatively stable, with only urease and catalase significantly altered at the highest concentration (p < 0.05). Collectively, PFBS affects the gut primarily through host-mediated disruption of the intestinal micro-environment, whereas its direct toxicity to soil is buffered. This study provides essential data for understanding the ecological risks of short-chain PFASs.",Needs manual review before database use
42229361,10.1016/j.jenvman.2026.129996,2026,Iron redox-driven efficient nitrification-denitrification by Acinetobacter nosocomialis C24.,Journal of environmental management,Huang Z; Yang S; Pan L; Wu Q; Guo H; Chen S; Liao Z,Journal Article,"Simultaneous nitrification-denitrification and phosphate removal (SNDPR) are crucial for the development of single-reactor aerobic systems for wastewater treatment. This study demonstrated a significant enhancement of the SNDPR performance of Acinetobacter nosocomialis strain C24 following the addition of 1 mg/L Fe3+/Fe2+. Within 24 h, NH4+-N and PO43--P removal efficiencies increased by 33.1% and 26.9%, respectively. Under mixed nitrogen conditions, strain C24 achieved over 92% efficiency in removing total nitrogen (TN) and phosphate (PO43--P). The addition of Fe3+/Fe2+ also stimulated extracellular polymeric substance (EPS) secretion, with a notable positive correlation (p < 0.05) found between TN removal efficiency and levels of EPS, protein (PN), and polysaccharides (PS). Genomic analysis revealed that strain C24 utilizes dissimilatory nitrate reduction to ammonium (DNRA) for nitrogen metabolism. Transcriptomic analysis further indicated that Fe3+/Fe2+ intervention upregulated the expression of genes involved in iron redox, carbon metabolism, and nitrogen metabolism. Overall, these findings offer a thorough insight into the mechanisms by which Fe3+/Fe2+ enhanced nitrogen and phosphorus metabolism in strain C24. Given its excellent adaptability, high performance, and potential for widespread application, A. nosocomialis C24 emerges as a highly prospective option for wastewater treatment.",Needs manual review before database use
42229318,10.1016/j.watres.2026.126215,2026,Mechanistic insights into nZVI-enhanced denitrification resilience in biological aerated filters under chlorfenapyr stress: Roles of EPS stability and electron-transfer pathways.,Water research,Li L; Jiang J; Liu Y; Xing Z; Zhao T,Journal Article,"To address the decline in nitrogen removal performance of biological aerated filters (BAFs) caused by the inhibition of key denitrification processes by the arylpyrrole insecticide chlorfenapyr, this study established a nanoscale zero-valent iron (nZVI)-enhanced BAF system and systematically investigated the enhancement effects and regulatory mechanisms of nZVI. The results demonstrated that nZVI markedly improved shock load resistance and recovery resilience. The NH4+-N removal efficiency remained above 90% under different chlorfenapyr concentrations, while the total nitrogen (TN) removal efficiency reached up to 88.82%. Extracellular polymeric substance (EPS) analysis indicated that nZVI effectively mitigated the adverse effects of stress on the surface properties of the biofilm, maintaining the protein-to-polysaccharide ratio at approximately 2.0 and thereby preserving biofilm structural stability. High-throughput sequencing revealed that nZVI sustained microbial community diversity and evenness. The relative abundance of the dominant phylum Pseudomonadota consistently remained above 54%, and the targeted enrichment of functional genera such as Paracoccus and members of Rhizobiaceae was promoted. Integrated analysis of carbon and nitrogen metabolic pathways had revealed that nZVI, acting as an electron donor, had promoted the TCA cycle while significantly upregulating the expression of iron transport genes (afuABC) and key denitrification genes (napA, nirB, and nosZ). From the perspectives of electron transfer and microbial community ecology, this study elucidates the intrinsic mechanisms by which nZVI enhances the stress resistance of biological systems, providing a theoretical basis for the engineering treatment of refractory pesticide wastewater.",Needs manual review before database use
42229136,10.1016/j.jhazmat.2026.142560,2026,Physiological and microbial alterations induced by pesticides in agricultural systems: A bioassay- and 16S rRNA-based approach.,Journal of hazardous materials,Delgado N; Fernández KG; Zambrano-Alegría C; Espinosa ZYD; Ramos-Cabrera E,Journal Article,"The extensive use of pesticides in agricultural production systems has increased interest in understanding their potential impacts on soil environmental dynamics. This study evaluates the effects of pesticide application on Lactuca sativa L. and soil microbiota. An initial field survey identified the main active ingredients commercial pesticides, followed by bioassays assessing germination and early development of Lactuca sativa, as well as soil microbial structure through physiological assessments and metagenomic analyses based on 16S rRNA gene sequencing, during a three-week soil experiment. Thirty active ingredients were identified in 92 agricultural products. Chlorpyrifos was identified as one of the most commercialized insecticides, where insecticides represented 69% of marketed phytosanitary products, mainly organophosphates (18%) and pyrethroids (21%), despite its hazardous classification and ban in several countries. Germination assays showed a hormetic response at low dose (2200 mg/L), reaching 70% germination compared with 51% in the control, while the germination index decreased to 75% at the recommended dose (4400 mg/L). Statistical analyses revealed inhibition of hypocotyl elongation (p = 0.001) and cotyledon development (p = 0.029). Soil microbiome analysis showed that high chlorpyrifos concentrations reduced microbial richness and diversity, while beta diversity analyses explained 99% of the variance among treatments. Proteobacteria, Burkholderiales, and Sphingomonadales increased under pesticide exposure, indicating microbial adaptation and biodegradation potential. Functional prediction using PICRUSt2 revealed enrichment of genes K03381, K00446, K01048, and K01560 associated with potential organophosphate degradation pathways. These findings demonstrate that chlorpyrifos induces ecological and seedling alterations even at agronomically recommended concentrations. highlighting the need to strengthen sustainable pesticide management and environmental monitoring strategies.",Needs manual review before database use
42226349,10.1002/ps.70973,2026,"Design, synthesis, antibacterial activity, and mechanism study of phosphate-containing vanillin sulfonylhydrazide derivatives.",Pest management science,Bai S; Lv X; Guo D; Wan S; Wu R; Tang S; Wang F; Xiao Y,Journal Article,"BACKGROUND: The increasing prevalence of phytopathogenic bacteria, such as Xanthomonas oryzae pv. oryzicola (Xoc), Xanthomonas axonopodis pv. citri (Xac) and Pseudomonas syringae pv. actinidiae (Psa), poses a serious threat to global agricultural productivity, underscoring the urgent need for novel antibacterial agents with distinct mechanisms of action. This study designed, synthesized, and evaluated a series of phosphonyl-substituted vanillyl sulfonyl hydrazide derivatives for their antibacterial activity and to elucidate the potential mechanisms of action of the most active compound. RESULTS: In total, 26 novel phosphonyl-substituted vanillyl sulfonyl hydrazide derivatives C were synthesized and structurally confirmed. Bioassays revealed that most compounds exhibited moderate to good antibacterial activity against the tested pathogens. Notably, compound C02 exhibited the most potent activity against Xoc, with a half-maximal effective concentration (EC50) value of 28.2 mg/L. Mechanistic studies revealed that C02 binds to the active cavity of the target protein (Protein Data Bank code: 4Z8V), forming stable interactions. Further analysis showed that C02 is highly chemically reactive and stable, disrupts bacterial cell membrane integrity (causing wrinkling and rupture), and considerably inhibits the activity of the key metabolic enzymes. Proteomic analysis demonstrated that C02 treatment broadly disrupts bacterial metabolic pathways, including energy metabolism, amino acid synthesis, and cell membrane biosynthesis. CONCLUSION: Compound C02 exerts its potent antibacterial effects through a multi-mechanism action involving membrane disruption and interference with multiple core metabolic processes. These findings provide a theoretical foundation and experimental evidence for developing novel antibacterial agents based on the phosphate-containing vanillin sulfonyl hydrazide scaffold, significantly advancing the field by identifying a promising lead compound with a well-characterized, multi-faceted mode of action. © 2026 Society of Chemical Industry.",Needs manual review before database use
42224579,10.1021/acs.jafc.5c16859,2026,Dual-Functional,Journal of agricultural and food chemistry,Huang Y; Lei Q; Chen Z; Liu M; Chen WJ; Ghorab MA; Chen S,Journal Article,"The extensive and persistent application of glyphosate has led to its accumulation in agricultural soils, creating potential ecological and health risks. In this study, a novel glyphosate-degrading bacterium, Rhizobium dioscoreae Q9a, was isolated and characterized. Strain Q9a effectively degraded glyphosate (50 mg/L) within 9 d in liquid culture. In addition to its degradative ability, strain Q9a exhibited multiple plant growth-promoting traits, including solubilization of up to 150 mg/L insoluble phosphate, production of 45 μg/mL indole-3-acetic acid, and siderophore secretion. Genome sequencing revealed multiple candidate genes potentially responsible for glyphosate metabolism, and heterologous expression validated the glyphosate oxidoreductase function of the key enzyme GoxD encoded by an oxidoreductase gene. Further, molecular docking and site-directed mutagenesis confirmed that Ser38 serves as the critical active site in GoxD for catalyzing glyphosate. These findings highlight the potential of strain Q9a as a promising bioinoculant for the bioremediation of glyphosate-contaminated environments and for enhancing crop growth.",Needs manual review before database use
42223444,10.1128/jvi.00445-26,2026,Trifloxystrobin-triggered Drp1 hyperactivation biases mitophagy and imposes long-lasting SVCV susceptibility in teleost.,Journal of virology,Wang H; Hu Y; Liu L; Chen J,Journal Article,"Environmental pollutants are increasingly recognized as disease modifiers, reshaping host homeostasis and shifting host-pathogen dynamics toward higher infection risk in aquatic ecosystems. Here, we show that the widely used strobilurin fungicide trifloxystrobin (TFS) persistently erodes antiviral competence in fish and increases susceptibility to spring viremia of carp virus (SVCV) by driving dynamin-related protein 1 (Drp1)-mediated excessive mitophagy and sustained mitochondrial dysfunction. Using epithelioma papulosum cyprini (EPC) cells and zebrafish as complementary models, we find that environmentally plausible TFS exposures (2.5-25 μg/L) elevate SVCV permissiveness; notably, this phenotype resolves incompletely after chemical withdrawal. Transcriptomics revealed a dose-concordant shift toward stress/innate immune signaling and mitophagy programs, alongside broad repression of proliferative and DNA-repair pathways. Consistently, TFS induces persistent mitochondrial membrane depolarization, promotes fragmentation and ultrastructural deterioration, and increases mitochondria-lysosome coupling. Mechanistically, TFS elevates Drp1 abundance and Ser616 phosphorylation, promotes Drp1 recruitment to mitochondria, and sustains microtubule-associated protein 1 light chain 3B (LC3B)/lysosomal-associated membrane protein 2 (LAMP2) engagement, accompanied by persistent induction of core autophagy regulators (gabarap, atg5, wipi1, and ambra1) across extended recovery windows. In vivo, prolonged TFS exposure similarly yields durable enhancement of SVCV susceptibility even after long recovery periods, indicating incomplete restoration of host resistance. Together, these findings link a major agricultural fungicide to persistent Drp1-driven mitophagy overactivation and identify long-term antiviral resistance as an ecologically relevant endpoint for pesticide risk assessment and aquatic disease forecasting.IMPORTANCEViral diseases pose a significant challenge to sustainable aquaculture, and effective antiviral interventions remain limited. In this study, we reveal that trifloxystrobin, a widely used fungicide, induces mitochondrial dysfunction and Drp1-mediated excessive mitophagy, leading to long-term suppression of antiviral immune responses in fish. Importantly, this work identifies mitochondrial dynamics as a key determinant of viral susceptibility and demonstrates how environmental pollutants can reshape host-pathogen interactions. By linking mitophagy and Drp1 activation to increased spring viremia of carp virus susceptibility, our findings provide a novel perspective on how pollutants may exacerbate viral infections in aquaculture species. This work underscores the urgent need for ecosystem-based antiviral strategies and offers a mechanistic framework for assessing ecological risks posed by common agricultural chemicals, thereby informing environmental and disease management in aquaculture.",Needs manual review before database use
42222486,10.7717/peerj.21207,2026,A potent Vip3Aa94 protein from Thai,PeerJ,Ngoen-Klan R; Chinon N; Rattanawannee A; Noosidum A; Siriwan W; Chanpaiseang J; Chareonviriyaphap T; Rajchanuwong P,Journal Article,"Vegetative insecticidal proteins (Vip) are produced by Bacillus thuringiensis during its vegetative growth stage. Vip3 proteins play a significant role in the insecticidal activity of B. thuringiensis against a wide spectrum of economically important crop pests. In this study, 163 B. thuringiensis strains were screened for the presence of vip3 using a polymerase chain reaction-based approach. Seventeen (10.43%) strains yielded an amplification product for vip3. Ten of these strains exhibited larvicidal activity against second-instar larvae of Spodoptera litura, Spodoptera exigua, and Spodoptera frugiperda, with corrected mortality rate ranging from 18.30% to 100%. JC20 exhibited the highest efficacy against the three Spodoptera species, achieving corrected mortality rates of 98.30% for S. litura and both 100% for S. exigua and S. frugiperda. Given its potency, JC20 was further characterized to identify its unique features and to assess its potential as a bioinsecticide. Scanning electron microscopy revealed the presence of bipyramidal crystal proteins in JC20, correlating with this strain harboring cry1D and cry2A. The vip3 gene of JC20 was cloned and sequenced. The complete 2,370 bp sequence was subsequently named Vip3Aa94 by the Bacterial Pesticidal Protein Database. The size of Vip3Aa94, determined via sodium dodecyl sulfate-polyacrylamide gel electrophoresis was approximately 90 kDa. Broad-spectrum efficacy for Vip3Aa94 was established against the second-instar of S. frugiperda, S. exigua, and S. litura, with low LC50 values of 67.38, 81.97, and 147.92 ng/cm2, respectively. Phylogenetic analysis based on the Vip3Aa94 sequence indicated that geographic separation led to the divergence of vip3, consistent with its distinct features compared with other B. thuringiensis strains globally. This study highlights JC20, with its high insecticidal activity, as a promising candidate for controlling Spodoptera pests.",Needs manual review before database use
42221587,10.3389/fcimb.2026.1822003,2026,"Disruption of chitin synthases impairs tick feeding and reproduction, validating a broad-spectrum acaricide target.",Frontiers in cellular and infection microbiology,Hajdusek O; Urbanova V; Moos M; Vancová M; Perner J,Journal Article,"Chitin, a major structural component of arthropods, is synthesized by chitin synthases (CHSs), which polymerize N-acetylglucosamine and extrude chitin into the extracellular matrix. CHSs are essential for cuticle formation and peritrophic matrix (PM) biogenesis and represent validated targets of several acaricides, yet their roles in ticks remain poorly defined. Here, we functionally characterize CHSs in the tick Ixodes ricinus, a major European vector of Lyme borreliosis. We identify three CHS genes with distinct expression patterns. RNA interference-mediated silencing of individual CHS genes reduced chitin deposition in the cuticle and PM, impaired feeding, survival, molting, and oviposition, and caused high post-feeding mortality. Artificial feeding with etoxazole, a non-catalytic CHS inhibitor, phenocopied these defects at nanomolar concentrations. While CHS silencing did not affect Borrelia afzelii transmission, it increased pathogen acquisition by feeding nymphs. Together, our findings establish CHSs as essential regulators of tick physiology and highlight their potential as selective molecular targets for tick control strategies.",Needs manual review before database use
42217893,10.1016/j.jes.2026.02.016,2026,The application of cold-adapted microorganisms in biphenyl biodegradation: Responses and mechanisms to environmental temperature fluctuations.,Journal of environmental sciences (China),Liu Z; Huang J; Li W; Jia Y; Fu Y; Shen C,Journal Article,"For the bioremediation of contaminated sites, the efficiency of bioaugmentation depends on the survival capacity of introduced degradative strains in environmental settings. Many isolated strains exhibit poor activity after field application, primarily due to fluctuating environmental conditions, among which diurnal temperature variation represents a significant contributing factor. In this study, cold-adapted bacteria were implemented for biphenyl degradation under realistic environmental temperature fluctuations. The research employed a simplified isolation approach incorporating the limiting dilution method to isolate 22 biphenyl-degrading strains from four extreme environments: Antarctic soil, Pacific deep-sea sediment, and Qinghai-Tibet Plateau soil/lake sediment. Notably, a Microbacterium strain from deep-sea sediment demonstrated broad temperature adaptability, completely removing 500 mg/L biphenyl within 3 days at both 30 and 15 °C. This strain can also degrade toluene, phenol, and sodium benzoate. Its biphenyl removal efficiency in actual environmental water samples remained unaffected by diurnal temperature cycling. Further analysis revealed its capacity to maintain membrane fluidity at 15 °C and to upregulated the expression of the cold shock protein gene cspA. These results suggest that cold-adapted microorganisms have promising applications in the bioremediation of organic contaminants.",Needs manual review before database use
42217808,10.1016/j.biortech.2026.135024,2026,Orchestrating triacylglycerol biosynthesis and hydrolysis via synthetic genetic circuits enhances spinosad production in Streptomyces albus.,Bioresource technology,Li X; Guo R; Jiang C; Liu R; Luan J; Wang H,Journal Article,"Spinosad, a potent insecticidal secondary metabolite, is biosynthesized with acetyl-CoA as the key precursor. Triacylglycerols (TAGs) can supply acetyl-CoA via β-oxidation, but the regulatory link between TAG metabolism and spinosad biosynthesis in Streptomyces albus remains unclear. Here, we identified xnr_rs25305 as a key TAG hydrolase gene that positively regulates spinosad biosynthesis through transcriptomic analysis and functional validation. Overexpression of xnr_rs25305 increased spinosyn A titer by 2.1-fold and reduced intracellular TAG content by 70%, while its deletion decreased spinosyn A titer by 30%. Mechanistically, xnr_rs25305 mediates TAG hydrolysis to release free fatty acids (FFAs), which are further converted to acetyl-CoA, thereby maintaining acetyl-CoA homeostasis for spinosad biosynthesis. To augment TAG reserves, we heterologously expressed sco0958 (encoding diacylglycerol acyltransferase) in S. albus, resulting in 2.5-2.8-fold higher TAG levels during early fermentation. To coordinate TAG biosynthesis and hydrolysis temporally, we developed a novel cumate-responsive Cum-CI NOT logic gate (optimized to 5.6-fold repression efficiency) and integrated it with a cumate-inducible YES gate to construct a synthetic genetic circuit. This circuit simultaneously represses sco0958 (TAG biosynthesis) and activates xnr_rs25305 together with sco6196 (encoding acyl-CoA synthetase, accelerating FFA activation) in a cumate concentration-dependent manner. The engineered strain harboring this circuit achieved a 3.5-fold increase in spinosad titer compared to the unregulated control strain when induced with 50 μM cumate at 72 h post-inoculation. This study establishes the critical role of TAG metabolism in secondary metabolite biosynthesis and provides a precision engineering strategy by orchestrating metabolic fluxes via synthetic genetic circuits in Streptomyces.",Needs manual review before database use
42217247,10.1080/03601234.2026.2679866,2026,DDT exposure drives time-dependent restructuring of soil microbiomes in urban garden microcosms.,"Journal of environmental science and health. Part. B, Pesticides, food contaminants, and agricultural wastes",Gök A; Arıkan M,Journal Article,"Dichlorodiphenyltrichloroethane (DDT) remains a pervasive legacy contaminant in urban soil matrices, yet the temporal dynamics of how it reshapes microbial community assembly remain poorly characterized. In this study, we investigated the successional response of an urban garden soil microbiome (Istanbul, Türkiye) to DDT exposure using a laboratory-scale microcosm framework. Soil samples were collected across a 15-day gradient (Days 0, 5, 10, and 15) and analyzed via 16S rRNA gene amplicon sequencing. DDT exposure was associated with time-dependent shifts in microbial diversity and community structure. Rather than showing evidence of broad diversity loss, Shannon diversity increased steadily in treated soils, suggesting niche expansion following the suppression of sensitive taxa. Differential abundance analysis identified a responder consortium; genera such as Rhodococcus, Kribbella, Nitrospira, Solirubacter, and Millisia significantly increased, whereas Pedomicrobium, Lysobacter, Pseudoarthrobacter, and Sedimentibacter declined. Inferred functional profiling revealed a marked metabolic restructuring in which pathways involved in aromatic amino acid and fatty acid metabolism decreased, while modules related to the degradation of chlorinated aromatic compounds, redox homeostasis, and stress responses were enriched. These findings suggest that DDT induces a specialized successional trajectory in soil microbiome, reflecting an adaptive transition toward a stress-resilient and potentially degradative community.",Needs manual review before database use
42215201,10.1016/j.fm.2026.105121,2026,CPT on the inhibitory activity against Penicillium expansum and control of blue mold.,Food microbiology,Wu X; Kong W; Peng Z; Li X; Yu T; Wubuli A; Zhang X; Zhu X,Journal Article,"Camptothecin (CPT), a natural alkaloid, exhibits potent antitumor and antifungal properties. Penicillium expansum is one of the most devastating pathogens affecting temperate fruit. Its infection can severely reduce fruit storage quality and commercial value. This study demonstrated that CPT exhibited excellent antifungal activity for P. expansum and also inhibited its accumulation of patulin. Notably, CPT (5 μg/mL) resulted in statistically significant and substantial inhibition of colony growth, spore germination, sporulation, and biomass accumulation. Gene expression analyses revealed that spore development-related genes were markedly downregulated following CPT exposure. This led to dramatic morphological damage in P. expansum spores and hyphae, as well as extensive leakage of intracellular nucleic acids and proteins. CPT treatment sharply reduced patulin content in both culture and inoculated fruit. CPT application also led to pronounced suppression of key cell wall-degrading enzymes (CWDEs). These including polygalacturonase (PG), pectin lyase (PL), cellulose (Cx), pectin methylesterase (PME), polygalacturonase transeliminase (PGTE), and pectin methylesterase transeliminase (PMTE), which are produced during fruit infection. As a result, lesion expansion was effectively halted. In summary, CPT impaired P. expansum growth by disrupting hyphal and spore development. It also inhibited cell wall-degrading enzyme activity at fruit wound sites, indicating its strong potential to mitigate postharvest blue mold.",Needs manual review before database use
42214373,10.1128/spectrum.00240-26,2026,Biocontrol potential and mechanism of an endophytic,Microbiology spectrum,Dang J; Wei Y; Jiang Y; Zhang M; Wei J; Yang X; Xing J; Peng H,Journal Article,"Fire blight, caused by Erwinia amylovora, is one of the serious challenges in the production of pears and apples. In this study, we isolated and analyzed the biocontrol efficiency and underlying mechanisms of strain KS1, an antagonistic bacterium of E. amylovora obtained from the ""Huoba"" pear cultivar of Pyrus pyrifolia Nakai. Strain KS1 was identified as Bacillus subtilis based on multi-locus phylogenetic analysis using 16S rRNA and rpoB gene sequences, together with average nucleotide identity (ANI) analysis of the KS1 genome against representative Bacillus species. Genomic analysis revealed that KS1 harbors multiple biosynthetic gene clusters associated with antimicrobial compound production, and surfactin and bacillibactin were detected by LC-MS analysis. Laser confocal microscopy analysis demonstrated that strain KS1 can colonize the roots, leaves, and rhizosphere soil of Pyrus betulifolia Bunge. KS1 significantly reduced the fire blight disease index on leaves, twigs, and immature fruits of Pyrus sinkiangensis Yü. In addition, KS1 promoted the growth of P. betulifolia Bunge seedlings. Field trials during the flowering period demonstrated that strain KS1 achieved control efficacies of 84.00% and 85.39% against fire blight on individual flowers and flower clusters, respectively. These results suggest that B. subtilis KS1 effectively inhibitsE. amylovora and has strong potential as a biological control agent for fire blight. This study provides insights into the antibacterial mechanisms of KS1 and supports its future development for sustainable management of fire blight.IMPORTANCEFire blight, caused by Erwinia amylovora, is a devastating disease that threatens pear output in several countries. Currently, fire blight is controlled primarily with chemical pesticides, which are causing additional issues, such as disease resistance, environmental contamination, and pesticide residues on fruit. As a result, there is a rising emphasis on creating ecologically acceptable, safe, and effective biocontrol strategies for combating fire blight in pear farming. This study explores the discovery and mechanisms of Bacillus subtilis KS1, which provides a novel biocontrol resource for managing pear fire blight. Strain KS1 has efficient and ecologically friendly biocontrol capabilities through a variety of mechanisms, including the production of antimicrobial lipopeptides (e.g., surfactin and bacillibactin), competition for colonization, induction of plant resistance, and direct promotion of growth. Therefore, this work demonstrates the great potential of B. subtilis KS1 as an alternative to chemical pesticides in sustainable pear production.",Needs manual review before database use
42213250,10.1007/s11274-026-04965-3,2026,Biocontrol of Fusarium culmorum and enhanced wheat seedling growth by Streptomyces sp. D15 from Algerian steppe soil: performance and genome analysis.,World journal of microbiology & biotechnology,Toumatia O; Dif G; Belaouni HA; Mokhnache S; Saadi SA; Goudjal Y; Meklat A; Bouras N,Journal Article,"Wheat (Triticum aestivum L.), a staple crop in Algeria and other semi-arid regions, faces significant challenges from fungal pathogens like Fusarium culmorum, which cause substantial yield losses and threaten food security. This study investigates the biocontrol and plant growth-promoting potential of Streptomyces sp. D15, an actinobacterial strain isolated from steppe soil in Algeria. Phylogenomic analysis confirmed the classification of strain D15 as Streptomyces lavendofoliae. During in planta experiments on wheat seedlings, strain D15 improved shoot length with increases of 67% relative to control and 120% relative to FC-infested seedlings. Results revealed the strain's ability to significantly reduce the severity of F. culmorum-induced seedling blight, achieving 91% reduction in disease incidence and 87% reduction in disease severity. Additionally, D15 enhanced wheat emergence rate (143% improvement) and increased root lateral branching by 391% compared to infested seedlings. Genome annotation identified a diverse range of genes linked to biocontrol mechanisms, including chitinolytic enzymes, siderophore production, and antifungal secondary metabolites such as hydrogen cyanide. Moreover, genes related to phosphate solubilization and phytohormone biosynthesis, including indole-3-acetic acid and gibberellic acid, were detected, explaining the observed plant growth-promoting effects. This comprehensive investigation highlights Streptomyces sp. D15 as a promising biocontrol agent and growth promoter, offering an eco-friendly and sustainable alternative to chemical pesticides. Its remarkable adaptability to semi-arid environments and its potential for agricultural applications position it as a valuable tool for enhancing wheat productivity and resilience in regions facing both biotic and abiotic stressors.",Needs manual review before database use
42212617,10.1021/acs.jafc.5c12629,2026,"Discovery of Imidazo[1, 2-",Journal of agricultural and food chemistry,Long Y; Long ZQ; Wu YY; Li M; Li LF; Hu XQ; Yang XM; Zhang L,Journal Article,"Tubulin is a critical antifungal target. However, current tubulin-targeting fungicides are limited by structural simplicity and single target site mechanisms, underscoring the imperative to diversify their chemical architectures. To address this challenge, we strategically employed a scaffold-hopping approach to incorporate the imidazo[1, 2-a]pyridine scaffold─a structural analog of benzimidazole─fused with a hydrazone fragment, synthesizing a series of novel imidazo[1, 2-a]pyridine hydrazone derivatives and evaluating their antifungal activity. Among these, compound B10 exhibited an EC50 value of 1.52 μg/mL against Botryosphaeria dothidea, outperforming fenbendazole and ferimzone. At 200 μg/mL, it displayed excellent in vivo control efficacy of 63.6%. Mechanistic investigations unveiled that compound B10 formed multiple hydrogen bonds and π-π interactions with tubulin, and further induced intracellular microtubule aggregation, thereby disrupting both hyphal morphology and cellular architecture. This study provides strong evidence for structural diversification in tubulin-targeting antifungal agents, offering new perspectives for overcoming existing limitations in antifungal therapy.",Needs manual review before database use
