pesticide,microorganism,evidence_type,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_protein_accession,year,doi,uniprot_accession,sequence_available,collection_category,annotation_basis
"2,4-D",Pseudomonas putida SM1443 ,Whole-cell / Crude,Oxidoreductase,"2,4-D / α-ketoglutarate dioxygenase",,TfdA,Not available,2005,10.1016/j.femsec.2005.04.007,,,,
Lindane,Petrimonas sulfuriphila PET,Experimental evidence — 41.2% degraded (58.8% residual); γ-HCH/chlorobenzene measured chromatographically,,2-haloacid dehalogenase; cobalamin-associated dehalogenation,PDBP0221,2-haloacid dehalogenase and cobalamin-biosynthesis genes,,2025,10.1016/j.watres.2024.122730,,No,CURATED,additional_2025-2026-search.xlsx
Lindane,Robertmurraya sp. CYTO,Experimental evidence — 54.4% degraded (45.6% residual); chromatographic confirmation,,2-haloacid dehalogenase; cobalamin-associated dehalogenation,PDBP0222,2-haloacid dehalogenase and cobalamin-biosynthesis genes,,2025,10.1016/j.watres.2024.122730,,No,CURATED,additional_2025-2026-search.xlsx
Lindane,Hungatella sp. CloS1,Experimental evidence — 39.8% degraded (60.2% residual); chromatographic confirmation,,2-haloacid dehalogenase; cobalamin-associated dehalogenation,PDBP0223,2-haloacid dehalogenase and cobalamin-biosynthesis genes,,2025,10.1016/j.watres.2024.122730,,No,CURATED,additional_2025-2026-search.xlsx
Lindane,Enterococcus avium PseS3,Experimental evidence — 30.7% degraded (69.3% residual); chromatographic confirmation,,2-haloacid dehalogenase; cobalamin-associated dehalogenation,PDBP0224,2-haloacid dehalogenase and cobalamin-biosynthesis genes,,2025,10.1016/j.watres.2024.122730,,No,CURATED,additional_2025-2026-search.xlsx
Lindane,Sphingobium japonicum UT26 engineered derivatives,Experimental and enzymatic evidence — quantitative γ-HCH/metabolites by GC-ECD after 60 min; assimilation by plate assay/qPCR,Haloalkane dehalogenase,DmmA; Rluc_anc; Rluc_anc_R7P; LinB comparator,PDBP0225,dmmA; rluc_anc; rluc_anc_R7P; linA; linB; linC,,2025,10.1093/bbb/zbaf022,,No,CURATED,additional_2025-2026-search.xlsx
Lindane,Klebsiella sp. ASNY6,Experimental evidence — 100 ppm initial; quantitative GC kinetic decline over 8 d; γ-PCCH detected by GC-MS (RT 8.814 min); TLC confirmation,Dechlorinase,Dechlorinase activity; identity unresolved,PDBP0226,,,2026,10.21276/pt.2026.v3.i1.12,,No,CURATED,additional_2025-2026-search.xlsx
Lindane,Anaerobic enrichment culture,Experimental evidence — removal rate increased 33.3±1.2 to 85.3±4.5 µM/d; MCB/benzene by headspace GC-FID; H2 by GC-TCD; 16S profiling,,Reductive dechlorination activity; enzyme not isolated,PDBP0227,,,2026,10.1016/j.jhazmat.2026.142242,,No,CURATED,additional_2025-2026-search.xlsx
Lindane,Sphingobium japonicum UT26 LinA expressed in Arabidopsis,Enzymatic evidence — >90% removed in 4 weeks; TCB and DCB products chemically detected,Dehydrochlorinase,LinA,PDBP0228,linA,,2026,10.1111/1751-7915.70409,P51697,Yes,CURATED,additional_2025-2026-search.xlsx
Glyphosate,Burkholderia cepacia TBr1,Experimental evidence — 67% degradation of 15 mg/mL within 7 d,C–P lyase activity,C–P lyase,PDBP0229,,,2026,10.48048/tis.2026.12865,,No,CURATED,additional_2025-2026-search.xlsx
Glyphosate,Bacillus velezensis TBr12,Experimental evidence — 76% degradation of 15 mg/mL within 7 d,C–P lyase activity,C–P lyase,PDBP0230,,,2026,10.48048/tis.2026.12865,,No,CURATED,additional_2025-2026-search.xlsx
Glyphosate,Stenotrophomonas maltophilia GP-1,Enzymatic evidence — metabolites sarcosine/glycine by TLC and LC-MS/MS; C–P lyase activity 0.4 U,C–P lyase,Glyphosate-specific C–P lyase,PDBP0231,phn operon; phnJ; sox,,2025,10.1007/s10532-025-10169-7,,No,CURATED,additional_2025-2026-search.xlsx
Thiamethoxam,Anaerobic aquatic microbial community,"Experimental evidence — 85.92% removal at 200 mg/L nitrate; 7.45-fold control; electrochemistry, ETSA/NADH, enzyme assays and metatranscriptomics",Reductases; catalase,Nitrate reductase; nitrite reductase; catalase,PDBP0232,Functional genes identified by metatranscriptomics,,2025,10.1016/j.envres.2025.122141,,No,CURATED,additional_2025-2026-search.xlsx
Thiamethoxam,Anaerobic microbial community,"Experimental evidence — nitrite produced 15.9-fold higher removal than control; electrochemical, enzymatic and microbial analyses",Nitrogen-cycle enzymes,Enzyme activities reported; names require full text,PDBP0233,Functional genes profiled,,2025,10.1016/j.jece.2025.119002,,No,CURATED,additional_2025-2026-search.xlsx
Thiamethoxam,Tolypothrix tenuis,Experimental evidence — 95.7% degradation; LC-MS quantified residues and products,,Intracellular enzymes and ROS implicated,PDBP0234,,,2026,10.3390/w18030304,,No,CURATED,additional_2025-2026-search.xlsx
Profenofos,Pseudomonas aeruginosa BRD1,Experimental evidence — 76% of 100 ppm after 96 h; HPLC and ESI-MS metabolites,,Phosphodiesterase; cytochrome P450; GST; hydrolases,PDBP0235,bphD; glpD; estB_1; estB_2; pdeB; pdeN; pdeG; gstB_2; yfcF; gstB_3; cpg2; lap; pepN,,2026,10.22207/jpam.20.2.62,,No,CURATED,additional_2025-2026-search.xlsx
Endosulfan,Bacillus subtilis strain UAMC,Experimental evidence — 97.6% α-endosulfan and 69.45% β-endosulfan; metabolites instrumentally identified; no endosulfan sulfate,Hydrolase implicated,Hydrolytic degradation enzymes,PDBP0236,,,2026,10.1007/s10532-026-10312-y,,No,CURATED,additional_2025-2026-search.xlsx
Acephate,Pandoraea pnomenusa ZQ05,Experimental and enzymatic evidence — 96.8% in water within 18 h; complete in soil within 15 h; chromatographic/multi-omics confirmation,Amidase,Aca amidase,PDBP0237,aca,,2026,10.1016/j.biortech.2025.133298,,No,CURATED,additional_2025-2026-search.xlsx
Acetochlor,Klebsiella michiganensis ES15,"Experimental and genetic evidence — 79.23% within 4 d; gene knockout, expression and chemical analysis",Glutathione S-transferase,Km-Gst,PDBP0238,gst,,2025,10.1016/j.pestbp.2025.106530,,No,CURATED,additional_2025-2026-search.xlsx
Acetochlor,Rhizosphere microbiome enriched in Pseudomonas,Experimental/genetic evidence — biofilter degradation with seven intermediates by GC-MS,Multiple pathway enzymes,Dehalogenase/formaldehyde and nitrogen-metabolism enzymes,PDBP0239,dhaA; fdhA; mxaJ; K01455; norB; nemA,,2026,10.1016/j.jhazmat.2025.140635,,No,CURATED,additional_2025-2026-search.xlsx
Ethiprole,Pseudomonas putida NC1,Experimental and enzymatic evidence — 79.7% of 50 mg/L in 24 h; products/pathway instrumentally verified,GMC-family oxidoreductase,GmcF,PDBP0240,gmcF,,2025,10.1016/j.ibiod.2024.105985,,No,CURATED,additional_2025-2026-search.xlsx
Fenamiphos,Cronobacter muytjensii GH10,Experimental and enzymatic evidence — quantitative soil degradation time course; recombinant enzyme cleaved P–O–C bond; chromatography used,Organophosphorus hydrolase,OPH,PDBP0241,oph,,2025,10.21608/ejchem.2025.395474.11922,,No,CURATED,additional_2025-2026-search.xlsx
