paper_id,filename,title_from_filename,file_status,curation_priority,priority_reason,curation_decision,next_action
CPF-P086,Functional_profiling_of_the_rhizospheric_Exiguobacterium_sp__for_dimethoate_degr.pdf,Functional profiling of the rhizospheric Exiguobacterium sp for dimethoate degr,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P087,Genome_Wide_Identification_of_P450_Genes_in_Chironomid__i_Propsilocerus_akamusi_.pdf,Genome Wide Identification of P450 Genes in Chironomid Propsilocerus akamusi,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P088,Graphene_based_functional_electrochemical_sensors_for_the_detection_of_chlorpyri.pdf,Graphene based functional electrochemical sensors for the detection of chlorpyri,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P089,High_chlorpyrifos_resistance_in_Culex_pipiens_mosquitoes__strong_synergy_between.pdf,High chlorpyrifos resistance in Culex pipiens mosquitoes strong synergy between,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P090,Highly_sensitive_label_free_bio_interfacial_colorimetric_sensor_based_on_silk_fi.pdf,Highly sensitive label free bio interfacial colorimetric sensor based on silk fi,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P091,Hydrochar_from_Agricultural_Waste_as_a_Biobased_Support_Matrix_Enhances_the_Bact.pdf,Hydrochar from Agricultural Waste as a Biobased Support Matrix Enhances the Bact,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P092,Hydrolysis_and_Photolysis_Kinetics__and_Identification_of_Degradation_Products_o.pdf,Hydrolysis and Photolysis Kinetics and Identification of Degradation Products o,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P093,Identification_and_degradation_characteristics_of_Bacillus_cereus_strain_WD_2_is.pdf,Identification and degradation characteristics of Bacillus cereus strain WD 2 is,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P094,Imidacloprid_and_chlorpyrifos_insecticides_impair_migratory_ability_in_a_seed_ea.pdf,Imidacloprid and chlorpyrifos insecticides impair migratory ability in a seed ea,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P095,Immobilized_cells_of_a_novel_bacterium_increased_the_degradation_of__i_N___i_met.pdf,Immobilized cells of a novel bacterium increased the degradation of N met,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P096,Impact_of_UV_B_Photoaging_on_Chlorpyrifos_Adsorption_by_PET_Microplastics__Insig.pdf,Impact of UV B Photoaging on Chlorpyrifos Adsorption by PET Microplastics Insig,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P097,Impact_of_sonolytic_ozonation__O_sub_3___sub_US__on_degradation_of_pesticide_res.pdf,Impact of sonolytic ozonation O3 US on degradation of pesticide res,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P098,In_Vitro_and_Computational_Response_of_Differential_Catalysis_by__i_Phlebia_brev.pdf,In Vitro and Computational Response of Differential Catalysis by Phlebia brev,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P099,Induction_of_endocannabinoid_levels_in_juvenile_rat_brain_following_developmenta.pdf,Induction of endocannabinoid levels in juvenile rat brain following developmenta,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P100,Influence_of__i_Bacillus_subtilis__i__and__i_Trichoderma_harzianum__i__on_Penthi.pdf,Influence of Bacillus subtilis and Trichoderma harzianum on Penthi,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P101,Influence_of_a_Commercial_Biological_Fungicide_containing__i_Trichoderma_harzian.pdf,Influence of a Commercial Biological Fungicide containing Trichoderma harzian,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P102,Influence_of_chlorpyrifos_exposure_on_UVB_irradiation_induced_toxicity_in_human_.pdf,Influence of chlorpyrifos exposure on UVB irradiation induced toxicity in human,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P103,Insights_into_the_enzymatic_degradation_of_DNA_expedited_by_typical_perfluoroalk.pdf,Insights into the enzymatic degradation of DNA expedited by typical perfluoroalk,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P104,Investigating_the_degradation_behavior_of_Cypermethrin__CYP__and_Chlorpyrifos__C.pdf,Investigating the degradation behavior of Cypermethrin CYP and Chlorpyrifos C,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P105,Isolation_and_Molecular_Characterization_of_Novel_Chlorpyrifos_and_3_5_6_trichlo.pdf,Isolation and Molecular Characterization of Novel Chlorpyrifos and 3 5 6 trichlo,HTML placeholder saved as .pdf,High,Likely microbial/enzyme/pathway evidence if the real PDF is obtained,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P106,Isolation_and_characterization_of_organophosphorus_phosphatases_from__i_Bacillus.pdf,Isolation and characterization of organophosphorus phosphatases from Bacillus,HTML placeholder saved as .pdf,High,Likely microbial/enzyme/pathway evidence if the real PDF is obtained,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P107,LC_MSMS_based_screening_of_emerging_pollutant_degradation_by_different_peroxidas.pdf,LC MSMS based screening of emerging pollutant degradation by different peroxidas,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P108,Laboratory_Studies_about_Microplastic_Aging_and_Its_Effects_on_the_Adsorption_of.pdf,Laboratory Studies about Microplastic Aging and Its Effects on the Adsorption of,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P109,Laccases__Production__Expression_Regulation__and_Applications_in_Pharmaceutical_.pdf,Laccases Production Expression Regulation and Applications in Pharmaceutical,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P110,Ligninolytic_behavior_of_the_white_rot_fungus__i_Stereum_ostrea__i__under_influe.pdf,Ligninolytic behavior of the white rot fungus Stereum ostrea under influe,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P111,Mechanism_and_kinetics_of_chlorpyrifos_co_metabolism_by_using_environment_restor.pdf,Mechanism and kinetics of chlorpyrifos co metabolism by using environment restor,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P112,Mechanism_and_toxicity_assessment_of_carbofuran_degradation_by_persulfate_based_.pdf,Mechanism and toxicity assessment of carbofuran degradation by persulfate based,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P113,Mechanisms_of_oxidative_response_during_biodegradation_of_malathion_by_S__oneide.pdf,Mechanisms of oxidative response during biodegradation of malathion by S oneide,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P114,Metabolic_Profiling_and_Comparative_Proteomic_Insight_in_Respect_of_Amidases_dur.pdf,Metabolic Profiling and Comparative Proteomic Insight in Respect of Amidases dur,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P115,Metabolome_wide_association_study_of_the_relationship_between_chlorpyrifos_expos.pdf,Metabolome wide association study of the relationship between chlorpyrifos expos,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P116,Metagenomic_Functional_Potential_Predicts_Degradation_Rates_of_a_Model_Organopho.pdf,Metagenomic Functional Potential Predicts Degradation Rates of a Model Organopho,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P117,Mice_treated_with_chlorpyrifos_or_chlorpyrifos_oxon_have_organophosphorylated_tu.pdf,Mice treated with chlorpyrifos or chlorpyrifos oxon have organophosphorylated tu,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P118,Microbial_Degradation_of_Naphthalene_and_Substituted_Naphthalenes__Metabolic_Div (1).pdf,Microbial Degradation of Naphthalene and Substituted Naphthalenes Metabolic Div (1),HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P119,Microbial_Degradation_of_Naphthalene_and_Substituted_Naphthalenes__Metabolic_Div.pdf,Microbial Degradation of Naphthalene and Substituted Naphthalenes Metabolic Div,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P120,Microbial_changes_linked_to_the_accelerated_degradation_of_the_herbicide_atrazin.pdf,Microbial changes linked to the accelerated degradation of the herbicide atrazin,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P121,Microbial_degradation_of_contaminants_of_emerging_concern__metabolic__genetic_an.pdf,Microbial degradation of contaminants of emerging concern metabolic genetic an,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P122,Mitochondrial_Gene_Expression_of_Three_Different_Dragonflies_Under_the_Stress_of.pdf,Mitochondrial Gene Expression of Three Different Dragonflies Under the Stress of,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P123,Modifying_effects_of_vitamin_E_on_chlorpyrifos_toxicity_in_atlantic_salmon_.pdf,Modifying effects of vitamin E on chlorpyrifos toxicity in atlantic salmon,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P124,Morpho_Functional_Alterations_in_the_Gills_of_a_Seawater_Teleost__the_Ornate_Wra.pdf,Morpho Functional Alterations in the Gills of a Seawater Teleost the Ornate Wra,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P125,Mycotoxin_Biodegradation_Ability_of_the_Cupriavidus_Genus_.pdf,Mycotoxin Biodegradation Ability of the Cupriavidus Genus,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P126,Nanocellulose_Based_Materials_for_Water_Treatment__Adsorption__Photocatalytic_De.pdf,Nanocellulose Based Materials for Water Treatment Adsorption Photocatalytic De,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P127,Nanoimages_show_disruption_of_tubulin_polymerization_by_chlorpyrifos_oxon__impli.pdf,Nanoimages show disruption of tubulin polymerization by chlorpyrifos oxon impli,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P128,Nb_V__containing_saponite__A_versatile_clay_for_the_catalytic_degradation_of_the.pdf,Nb V containing saponite A versatile clay for the catalytic degradation of the,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P129,Novel_gene_clusters_and_metabolic_pathway_involved_in_3_5_6_trichloro_2_pyridino.pdf,Novel gene clusters and metabolic pathway involved in 3 5 6 trichloro 2 pyridino,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P130,Numerical_Modeling_of_Groundwater_Pollution_by_Chlorpyrifos__Bromacil_and_Terbut.pdf,Numerical Modeling of Groundwater Pollution by Chlorpyrifos Bromacil and Terbut,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P131,Optimization_of_Growth_Conditions_for_Chlorpyrifos_Degrading_Bacteria_in_Farm_So.pdf,Optimization of Growth Conditions for Chlorpyrifos Degrading Bacteria in Farm So,HTML placeholder saved as .pdf,High,Likely microbial/enzyme/pathway evidence if the real PDF is obtained,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P132,Parkin_Protects_against_Oxygen_Glucose_Deprivation_Reperfusion_Insult_by_Promoti.pdf,Parkin Protects against Oxygen Glucose Deprivation Reperfusion Insult by Promoti,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P133,Persistence_and_dissipation_of_chlorpyrifos_in_Brassica_chinensis__lettuce__cele.pdf,Persistence and dissipation of chlorpyrifos in Brassica chinensis lettuce cele,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P134,Persulfate_Based_Advanced_Oxidation_Process_for_Chlorpyrifos_Degradation__Mechan.pdf,Persulfate Based Advanced Oxidation Process for Chlorpyrifos Degradation Mechan,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P135,Pesticide_Residues__Glyphosate_Adsorption_and_Degradation_Characteristics_in_Eth.pdf,Pesticide Residues Glyphosate Adsorption and Degradation Characteristics in Eth,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P136,Pharmacokinetics_and_pharmacodynamics_of_chlorpyrifos_in_adult_male_Long_Evans_r.pdf,Pharmacokinetics and pharmacodynamics of chlorpyrifos in adult male Long Evans r,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P137,Photocatalytic_degradation_of_dimethoate_in_Bok_choy_using_cerium_doped_nano_tit.pdf,Photocatalytic degradation of dimethoate in Bok choy using cerium doped nano tit,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P138,Phytotoxicity_of_pesticides_mancozeb_and_chlorpyrifos__correlation_with_the_anti.pdf,Phytotoxicity of pesticides mancozeb and chlorpyrifos correlation with the anti,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P139,Presence_of_esterase_and_laccase_in_Bacillus_subtilis_facilitates_biodegradation.pdf,Presence of esterase and laccase in Bacillus subtilis facilitates biodegradation,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P140,Production_and_purification_of_laccase_by__i_Bacillus__i__sp__using_millet_husks.pdf,Production and purification of laccase by Bacillus sp using millet husks,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P141,Protective_effect_of_fisetin_against_subchronic_chlorpyrifos_induced_toxicity_on.pdf,Protective effect of fisetin against subchronic chlorpyrifos induced toxicity on,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P142,Purification_and_characterization_of_a_novel_chlorpyrifos_hydrolase_from_Cladosp.pdf,Purification and characterization of a novel chlorpyrifos hydrolase from Cladosp,HTML placeholder saved as .pdf,High,Likely microbial/enzyme/pathway evidence if the real PDF is obtained,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P143,Repeated_exposures_to_low_level_chlorpyrifos_results_in_impairments_in_sustained.pdf,Repeated exposures to low level chlorpyrifos results in impairments in sustained,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P144,Review_of_the_existing_maximum_residue_levels_for_chlorpyrifos_according_to_Arti.pdf,Review of the existing maximum residue levels for chlorpyrifos according to Arti,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P145,Review_of_the_existing_maximum_residue_levels_for_chlorpyrifos_methyl_according_.pdf,Review of the existing maximum residue levels for chlorpyrifos methyl according,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P146,Role_of_Insect_Gut_Microbiota_in_Pesticide_Degradation__A_Review_.pdf,Role of Insect Gut Microbiota in Pesticide Degradation A Review,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P147,Role_of_intravenous_lipid_emulsion_therapy_and_packed_red_blood_cell_transfusion.pdf,Role of intravenous lipid emulsion therapy and packed red blood cell transfusion,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P148,Simultaneous_biodegradation_of_λ_cyhalothrin_pesticide_and_Vicia_faba_growth_pro.pdf,Simultaneous biodegradation of λ cyhalothrin pesticide and Vicia faba growth pro,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P149,Single_and_Combined_Effects_of_Chlorpyrifos_and_Glyphosate_on_the_Brain_of_Commo.pdf,Single and Combined Effects of Chlorpyrifos and Glyphosate on the Brain of Commo,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P150,Soil_bacteria_showing_a_potential_of_chlorpyrifos_degradation_and_plant_growth_e.pdf,Soil bacteria showing a potential of chlorpyrifos degradation and plant growth e,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P151,Soil_bacterial_and_fungal_community_successions_under_the_stress_of_chlorpyrifos.pdf,Soil bacterial and fungal community successions under the stress of chlorpyrifos,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P152,Sonochemical_degradation_of_pesticides_in_aqueous_solution__investigation_on_the.pdf,Sonochemical degradation of pesticides in aqueous solution investigation on the,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P153,Sorption_Features_of_Polyurethane_Foam_Functionalized_with_Salicylate_for_Chlorp.pdf,Sorption Features of Polyurethane Foam Functionalized with Salicylate for Chlorp,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P154,Special_Issue__Microbial_Biodegradation_and_Biotransformation__.pdf,Special Issue Microbial Biodegradation and Biotransformation,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P155,Specific_Effects_of_Chronic_Dietary_Exposure_to_Chlorpyrifos_on_Brain_Gene_Expre.pdf,Specific Effects of Chronic Dietary Exposure to Chlorpyrifos on Brain Gene Expre,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P156,Subacute_developmental_exposure_of_zebrafish_to_the_organophosphate_pesticide_me.pdf,Subacute developmental exposure of zebrafish to the organophosphate pesticide me,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P157,Sustainable_indigenous_bio_mixture_for_restoration_the_soil_point_source_polluti.pdf,Sustainable indigenous bio mixture for restoration the soil point source polluti,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P158,The_Ameliorative_Effect_of__i_Litsea_martabanica__i___Kurz__Hook__f__Leaf_Water_.pdf,The Ameliorative Effect of Litsea martabanica Kurz Hook f Leaf Water,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P159,The_Catalytic_Role_of_Superparamagnetic_Iron_Oxide_Nanoparticles_as_a_Support_Ma.pdf,The Catalytic Role of Superparamagnetic Iron Oxide Nanoparticles as a Support Ma,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P160,The_Enzymatic_Antioxidants_Activities_Changes_in_Water_Plants_Tissues_Exposed_to.pdf,The Enzymatic Antioxidants Activities Changes in Water Plants Tissues Exposed to,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P161,The_Genome_Analysis_of__i_Methylobacterium_populi__i__YC_XJ1_with_Diverse_Xenobi.pdf,The Genome Analysis of Methylobacterium populi YC XJ1 with Diverse Xenobi,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P162,The_Simultaneous_Determination_of_Chlorpyrifos_Ethyl_and__Methyl_with_a_New_Form.pdf,The Simultaneous Determination of Chlorpyrifos Ethyl and Methyl with a New Form,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P163,The_cannabinoid_receptor_antagonist_AM251_increases_paraoxon_and_chlorpyrifos_ox.pdf,The cannabinoid receptor antagonist AM251 increases paraoxon and chlorpyrifos ox,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P164,The_hepato__and_neuroprotective_effect_of_gold_Casuarina_equisetifolia_bark_nano.pdf,The hepato and neuroprotective effect of gold Casuarina equisetifolia bark nano,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P165,The_impact_of_novel_bacterial_strains_and_their_consortium_on_diflufenican_degra.pdf,The impact of novel bacterial strains and their consortium on diflufenican degra,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P166,Toxic_effects_of_chlorpyrifos_on_the_growth__hematology__and_different_organs_hi.pdf,Toxic effects of chlorpyrifos on the growth hematology and different organs hi,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P167,Toxicity_assessment_of_chlorpyrifos_degrading_fungal_bio_composites_and_their_en.pdf,Toxicity assessment of chlorpyrifos degrading fungal bio composites and their en,HTML placeholder saved as .pdf,High,Likely microbial/enzyme/pathway evidence if the real PDF is obtained,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P168,Toxicity_evaluation_and_degradation_of_cypermethrin_contaminated_soil_using_bioc.pdf,Toxicity evaluation and degradation of cypermethrin contaminated soil using bioc,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P169,Variability_in_the_dynamics_of_mortality_and_immobility_responses_of_freshwater_.pdf,Variability in the dynamics of mortality and immobility responses of freshwater,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P170,Variation_in_elemental_composition_as_influenced_by_chlorpyrifos_application_in_.pdf,Variation in elemental composition as influenced by chlorpyrifos application in,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P171,Zn_sup_2___sup__and_Cd_sup_2___sup__assisted_photo_catalytic_degradation_of_chlo.pdf,Zn2 and Cd2 assisted photo catalytic degradation of chlo,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
