pesticide_folder,total_pdf_named_files,pdf_header_files,html_placeholder_files,unknown_or_unreadable_files,sample_pdf_header_files,sample_placeholder_files
Dimethenamid-P,3,3,0,0,"Dynamics of the Degradation of Acetyl-CoA Carboxylase Herbicides in Vegetables..pdf | Fungal biodegradation of chlorinated herbicides an overview with an emphasis on 2,4-D in Argentina..pdf | Peer review of the pesticide risk assessment of the active substance dimethenamid-P..pdf",
Dimethipin,1,1,0,0,Development of an enhanced analytical method utilizing pepper matrix as an analyte protectant for sensitive GCâ€’MSMS detection of dimethipin in animal-based food products..pdf,
Dimethoate,43,0,43,0,,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Novel_Molecularly_Imprinted_Quartz_Crystal_Microbalance_Sensor_Based_on_Erbium.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Aerobic_Degradation_of_Clothianidin_to_2_Chloro_methyl_Thiazole_and_Methyl_3__Th.pdf | Biodegradation_of_nitenpyram__neonicotinoid_insecticide__by_endophytic_bacterium.pdf
Dimethomorph,5,0,5,0,,Attenuation_and_soil_biodegradation_of_fungicides_by_using_vegetated_buffer_stri.pdf | Co_exposure_of_dimethomorph_and_imidacloprid__effects_on_soil_bacterial_communit.pdf | Degradation_strategies_of_pesticide_residue__From_chemicals_to_synthetic_biology.pdf | Dissipation_and_Safety_Analysis_of_Dimethomorph_Application_in_Lychee_by_High_Pe.pdf | Peer_review_of_the_pesticide_risk_assessment_of_the_active_substance_dimethomorp.pdf
Dinocap,5,5,0,0,"Degradation of dinocap in three German soils..pdf | Evaluation of the confirmatory data following the Article 12 MRL review for meptyldinocap (DE-126) and modification of the existing maximum residue levels in table and wine grapes..pdf | Optimization of diazinon biodegradation from aqueous solutions by Saccharomyces cerevisiae using response surface methodology..pdf | Persistence and dissipation study of azoxystrobin, buprofezin, dinocap and hexaconazole on mango (Mangifera indica L.)..pdf | Review of the existing maximum residue levels for meptyldinocap (DE-126) according to Article 12 of Regulation (EC) No 3962005..pdf",
Dinotefuran,24,0,24,0,,A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Adverse_outcome_pathway_based_assessment_of_pulmonary_toxicity_from_the__i_in_vi.pdf | Biodegradation_and_Metabolic_Pathway_of_the_Neonicotinoid_Insecticide_Thiamethox.pdf | Biodegradation_of_nitenpyram__neonicotinoid_insecticide__by_endophytic_bacterium.pdf
Diphenylamine,52,0,52,0,,1_6_α_L_Fucosidases_from__i_Bifidobacterium_longum__i__subsp___i_infantis__i__AT.pdf | 3_Chlorodiphenylamine_activates_cardiac_troponin_by_a_mechanism_distinct_from_be.pdf | Adsorption_of_DNA_to_sand_and_variable_degradation_rates_of_adsorbed_DNA_.pdf | Anomalous_efficiency_elevation_of_quantum_dot_light_emitting_diodes_induced_by_o.pdf | Bifidobacterium_bifidum_lacto_N_biosidase__a_critical_enzyme_for_the_degradation.pdf
Diquat,29,0,29,0,,Absorption_and_excretion_of_diquat_and_paraquat_in_rats_.pdf | Analysis_of_Human_microRNA_Expression_Profiling_During_Diquat_Induced_Renal_Prox.pdf | Biodegradation_Capabilities_of_Paraquat_Degrading_Bacteria_Immobilized_on_Nanoce.pdf | Comparison_of_the_aquatic_toxicity_of_diquat_and_its_metabolites_to_zebrafish_Da.pdf | Curcumin_alleviates_cecal_oxidative_injury_in_diquat_induced_broilers_by_regulat.pdf
Disulfoton,4,0,4,0,,Degradation_of_Praguicide_Disulfoton_Using_Nanocompost_and_Evaluation_of_Toxicol.pdf | Factors_affecting_degradation_of_aldicarb_and_ethoprop_.pdf | Microbial_Degradation_of_Pesticide_Residues_and_an_Emphasis_on_the_Degradation_o.pdf | Phosphate_and_soil_binding__factors_limiting_bacterial_degradation_of_ionic_phos.pdf
Dithianon,1,0,1,0,,Updated_peer_review_of_the_pesticide_risk_assessment_for_the_active_substance_di.pdf
Dithiocarbamates,22,0,22,0,,A_General_Approach_to_Site_Specific__Intramolecular_C_H_Functionalization_Using_.pdf | Bis_4_methylpiperidine_1_carbodithioato__lead_II__and_Bis_4_benzylpiperidine_1_c.pdf | Computational_and_biochemical_characterization_of_the_immobilized_esterase_of_Sa.pdf | Cross_reactivity_between_thiuram_disulfides_and_dithiocarbamates__A_study_of_TET.pdf | Cytotoxicity_profiles_for_a_series_of_triorganophosphinegold_I__dithiocarbamates.pdf
Dodine,3,3,0,0,Damage to the cytoplasmic membrane and cell death caused by dodine (dodecylguanidine monoacetate) in Pseudomonas syringae ATCC 12271..pdf | Mode of antibacterial action of dodine (dodecylguanidine monoacetate) in Pseudomonas syringae..pdf | Modification of the existing maximum residue levels for dodine in citrus fruits..pdf,
Emamectin benzoate,25,0,25,0,,Application_of_Solid_Dispersion_Technique_to_Improve_Solubility_and_Sustain_Rele.pdf | Assessment_of_the_effect_of_sub_lethal_acute_toxicity_of_Emamectin_benzoate_in__.pdf | CRISPR_Cas9_Based_Functional_Characterization_of_SfUGT50A15_Reveals_Its_Roles_in.pdf | Comparative_analyses_of_the_effects_of_sublethal_doses_of_emamectin_benzoate_and.pdf | Dissipation_Dynamic__Residue_Distribution_and_Risk_Assessment_of_Emamectin_Benzo.pdf
Endosulfan,48,1,47,0,Endosulfan_10.1371_journal.pone.0077170.pdf,A_single_monooxygenase__ese__is_involved_in_the_metabolism_of_the_organochloride.pdf | Acute_oral_toxicity_and_histopathological_study_of_combination_of_endosulfan_and.pdf | Atmospheric_Hydroxyl_Radical_Reaction_Rate_Coefficient_and_Total_Environmental_L.pdf | Biodegradability_and_biodegradation_pathways_of_chlorinated_cyclodiene_insectici.pdf | Biodegradation_and_bioremediation_of_pesticide_in_soil__concept__method_and_rece.pdf
Endrin,12,0,12,0,,Bacterial_degradation_of_aromatic_compounds_.pdf | Biochar_in_co_contaminated_soil_manipulates_arsenic_solubility_and_microbiologic.pdf | Biodegradability_and_biodegradation_pathways_of_chlorinated_cyclodiene_insectici.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Degradation_of_endrin__aldrin__and_DDT_by_soil_microorganisms_.pdf
Esfenvalerate,12,0,12,0,,Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Degradation_of_the_strobilurin_fungicide_mandestrobin_in_illuminated_water_sedim.pdf | Effects_of_the_insecticide_esfenvalerate_on_zooplankton_in_an_indoor_synthetic_m.pdf | Evaluate_the_Toxicity_of_Pyrethroid_Insecticide_Cypermethrin_before_and_after_Bi.pdf | Insight_Into_Microbial_Applications_for_the_Biodegradation_of_Pyrethroid_Insecti.pdf
Ethephon,25,0,25,0,,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | Changes_in_Nutrient_Components_and_Digestive_Enzymatic_Inhibition_Activities_in_.pdf | Characterization_of_Two_Ethephon_Induced__i_IDA_Like__i__Genes_from_Mango__and_E.pdf | Comparative_Physiological_and_Transcriptomic_Mechanisms_of_Defoliation_in_Cotton.pdf | Effect_of_Preharvest_Ethephon_Application_on_Selected_Biochemical_Components_and.pdf
Ethion,9,0,9,0,,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | Biodegradation_of_pesticide_in_agricultural_soil_employing_entomopathogenic_fung.pdf | Chitosan_TPP_encapsulated_quercetin_nanoparticles__amplified_protection_mechanis.pdf | Development_Disrupting_Chitin_Synthesis_Inhibitor__Novaluron__Reprogramming_the_.pdf | Field_Assessment_of_Naled_and_Its_Primary_Degradation_Product__Dichlorvos__in_Aq.pdf
Ethiprole,3,0,3,0,,Photodegradation_of_the_phenylpyrazole_insecticide_ethiprole_in_aquatic_environm.pdf | Role_of_Insect_Gut_Microbiota_in_Pesticide_Degradation__A_Review_.pdf | Setting_of_residue_definitions_and_toxicological_reference_values_for_ethiprole_.pdf
Ethoprophos,9,0,9,0,,Biodegradation_of_chlorpyrifos_by_enterobacter_strain_B_14_and_its_use_in_biorem.pdf | Effects_of_soil_pH_on_the_biodegradation_of_chlorpyrifos_and_isolation_of_a_chlo.pdf | Efficacy_of_Ethoprop_on_Meloidogyne_hapla_and_M__chitwoodi_and_Enhanced_Biodegra.pdf | Efficient_biodegradation_of_acephate_by__i_Pseudomonas_pseudoalcaligenes__i__PS_.pdf | Factors_affecting_degradation_of_aldicarb_and_ethoprop_.pdf
Ethoxyquin,18,0,18,0,,Autophagic_programmed_cell_death_by_selective_catalase_degradation_.pdf | Catalytic_degradation_of_kraft_lignin_to_determine_its_antioxidant_potential_for (1).pdf | Characterization_of_docosahexaenoic_acid__DHA__induced_heme_oxygenase_1__HO_1__e.pdf | Comparative_Study_of_an_Antioxidant_Compound_and_Ethoxyquin_on_Feed_Oxidative_St.pdf | Effects_of_milk__milk_replacer__and_milk_replacer_plus_ethoxyquin_on_the_growth_.pdf
Etofenprox,6,0,6,0,,Degradation_of_insecticides_used_for_indoor_spraying_in_malaria_control_and_poss.pdf | Field_evaluation_of_a_volatile_pyrethroid_spatial_repellent_and_etofenprox_treat.pdf | Insight_Into_Microbial_Applications_for_the_Biodegradation_of_Pyrethroid_Insecti.pdf | Modification_of_the_existing_maximum_residue_level_for_etofenprox_in_plums_.pdf | Review_of_the_existing_maximum_residue_levels_for_etofenprox_according_to_Articl.pdf
Etoxazole,4,0,4,0,,Chiral_Separation_and_Determination_of_Etoxazole_Enantiomers_in_Vegetables_by_No.pdf | Crystal_structure_and_Hirshfeld_surface_analysis_of_the_pesticide_etoxazole_.pdf | Peer_review_of_the_pesticide_risk_assessment_of_the_active_substance_etoxazole_.pdf | Residue_Behaviors_and_Degradation_Dynamics_of_Insecticides_Commonly_Applied_to__.pdf
Famoxadone,2,0,2,0,,Prediction_of_Pesticide_Interactions_with_Proteins_Involved_in_Human_Reproductio.pdf | Review_on_Performance_of__i_Aspergillus__i__and__i_Penicillium__i__Species_in_Bi.pdf
Fenamiphos,3,3,0,0,"Analytical method validation, dissipation and safety evaluation of combination fungicides fenamidoneâ€‰+â€‰mancozeb and iprovalicarbâ€‰+â€‰propineb inon tomato..pdf | Determination of famoxadone, fenamidone, fenhexamid and iprodione residues in greenhouse tomatoes..pdf | Dynamics and residues of mixed formulation of fenamidone and mancozeb in gherkin field ecosystem..pdf",
Fenazaquin,26,0,26,0,,A_Review_of_Microalgae__and_Cyanobacteria_Based_Biodegradation_of_Organic_Pollut.pdf | Accelerated_degradation_of_aldicarb_and_its_metabolites_in_cotton_field_soils_.pdf | Accelerated_degradation_of_fenamiphos_and_its_metabolites_in_soil_previously_tre.pdf | Advances_in_photocatalytic_degradation_of_organic_pollutants_in_wastewaters__har.pdf | Availability_of_fenamiphos_and_its_metabolites_to_soil_water_.pdf
Fenbuconazole,5,5,0,0,"Degradation studies of fenazaquin in soil under field and laboratory conditions..pdf | Investigation in tea on fate of fenazaquin residue and its transfer in brew..pdf | Photodecomposition of an acaricide, fenazaquin, in aqueous alcoholic solution..pdf | Setting of an import tolerance for fenazaquin in almonds..pdf | Setting of an import tolerance for fenazaquin in hops..pdf",
Fenbutatin Oxide,1,1,0,0,Review of the existing maximum residue levels for fenbutatin oxide according to Article 12 of Regulation (EC) NoÂ 3962005..pdf,
Fenhexamid,6,0,6,0,,Endocrine_disruptors_fludioxonil_and_fenhexamid_stimulate_miR_21_expression_in_b.pdf | Highly_sensitive_voltammetric_determination_of_the_fungicide_fenhexamid_using_a_.pdf | In_vitro_metabolism_of_tebuconazole__flurtamone__fenhexamid__metalaxyl_M_and_spi.pdf | Modification_of_the_existing_maximum_residue_levels_for_fenhexamid_in_various_cr.pdf | Screening_for__i_Lactobacillus_plantarum__i__Strains_That_Possess_Organophosphor.pdf
Fenitrothion,46,0,46,0,,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Review_on_the_Degradation_of_Pollutants_by_Fenton_Like_Systems_Based_on_Zero_V.pdf | Acetylcholinesterase_Inhibition_in_Rats_and_Humans_Following_Acute_Fenitrothion_.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Aerobic_Degradation_of_Clothianidin_to_2_Chloro_methyl_Thiazole_and_Methyl_3__Th.pdf
Fenpicoxamid,2,2,0,0,"Biological characterization of fenpicoxamid, a new fungicide with utility in cereals and other crops..pdf | Peer review of the pesticide risk assessment of the active substance fenpicoxamid (XDE-777)..pdf",
Fenpropathrin,25,0,25,0,,Ameliorative_effects_of_date_palm_kernel_extract_against_fenpropathrin_induced_m.pdf | Antioxidant_Role_of__i_PcGSTd1__i__in_Fenpropathrin_Resistant_Population_of_the_.pdf | Biodegradation_of_monocrotophos__cypermethrin___fipronil_by__i_Proteus_myxofacie.pdf | Characterization_of_a_Pyrethroid_Degrading__i_Pseudomonas_fulva__i__Strain_P31_a.pdf | Conserved_Metabolic_and_Evolutionary_Themes_in_Microbial_Degradation_of_Carbamat.pdf
Fenpropimorph,5,5,0,0,Conclusion regarding the peer review of the pesticide risk assessment of the active substance fenpropimorph..pdf | Factors influencing degradation of pesticides in soil..pdf | Insulin-induced gene protein (INSIG)-dependent sterol regulation of Hmg2 endoplasmic reticulum-associated degradation (ERAD) in yeast..pdf | Reasoned opinion on the review of the existing maximum residue levels (MRLs) for fenpropimorph according to Article 12 of Regulation (EC) No 3962005..pdf | The small molecule fenpropimorph rapidly converts chloroplast membrane lipids to triacylglycerols in Chlamydomonas reinhardtii..pdf,
Fenpyrazamine,2,0,2,0,,Modification_of_the_existing_maximum_residue_levels_for_fenpyrazamine_in_lettuce.pdf | Review_of_the_existing_maximum_residue_levels_for_fenpyrazamine_according_to_Art.pdf
Fenpyroximate,3,0,3,0,,Microbial_Degradation_of_Pesticide_Residues_and_an_Emphasis_on_the_Degradation_o.pdf | Residue__dissipation__and_dietary_intake_evaluation_of_fenpyroximate_acaricide_i.pdf | Residue_determination_and_decline_pattern_of_abamectin_and_fenpyroximate_in_okra.pdf
Fenthion,2,0,2,0,,Efficiency_of_the_intestinal_bacteria_in_the_degradation_of_the_toxic_pesticide_.pdf | Identification_of_an_opd__organophosphate_degradation__gene_in_an_Agrobacterium_.pdf
Fenvalerate,25,0,25,0,,Aerobic_degradation_of_fenvalerate_by_a_Gram_positive_bacterium___i_Bacillus_fle.pdf | An_endocrine_disrupting_chemical__fenvalerate__induces_cell_cycle_progression_an.pdf | Biodegradation_and_metabolic_pathway_of_fenvalerate_by_Citrobacter_freundii_CD_9.pdf | Biodegradation_of_Allethrin_by_a_Novel_Fungus__i_Fusarium_proliferatum__i__Strai.pdf | Biodegradation_of_Unpretreated_Low_Density_Polyethylene__LDPE__by__i_Stenotropho.pdf
Fipronil,50,0,50,0,,A_GABA_Receptor_Modulator_and_Semiochemical_Compounds_Evidenced_Using_Volatolomi.pdf | Activated_carbon_as_a_means_of_limiting_bioaccumulation_of_organochlorine_pestic.pdf | Ameliorative_Effects_of_Boswellic_Acid_on_Fipronil_Induced_Toxicity__Antioxidant.pdf | Arylpyrrole_and_fipronil_analogues_that_inhibit_the_motility_and_or_development_.pdf | Assessment_of_fipronil_toxicity_on_wistar_rats__A_hepatotoxic_perspective_.pdf
Flonicamid,18,0,18,0,,Biodegradation_of_flonicamid_by_Ensifer_adhaerens_CGMCC_6315_and_enzymatic_chara.pdf | Efficient_Biodegradation_of_the_Neonicotinoid_Insecticide_Flonicamid_by_Pseudami.pdf | Intergenerational_Sublethal_Effects_of_Flonicamid_on_Cotton_Aphid___i_Aphis_goss.pdf | Metabolic_Profiling_and_Comparative_Proteomic_Insight_in_Respect_of_Amidases_dur.pdf | Microbial_Technologies_Employed_for_Biodegradation_of_Neonicotinoids_in_the_Agro.pdf
Fluazaindolizine,1,0,1,0,,Photodegradation_of_pesticides_using_compound_specific_isotope_analysis__CSIA___.pdf
Fluazifop-p-butyl,4,0,4,0,,Influence_of_a_Commercial_Biological_Fungicide_containing__i_Trichoderma_harzian.pdf | Nanometer_Titanium_Dioxide_Mediated_High_Efficiency_Photodegradation_of_Fluazifo.pdf | Target_site_mutations_Ile1781Leu_and_Ile2041Asn_in_the__i_ACCase2__i__gene_confe.pdf | The_Genome_Analysis_of__i_Methylobacterium_populi__i__YC_XJ1_with_Diverse_Xenobi.pdf
Fluazinam,5,0,5,0,,Comparative_Transcriptome_Analysis_Reveals_the_Mechanism_Related_to_Fluazinam_St.pdf | Conclusion_regarding_the_peer_review_of_the_pesticide_risk_assessment_of_the_act.pdf | Dissipation_and_Residue_Pattern_of_Dinotefuran__Fluazinam__Indoxacarb__and_Thiac.pdf | Modification_of_the_existing_maximum_residue_levels_for_fluazinam_in_onions__sha.pdf | Residue_Behaviors_and_Degradation_Dynamics_of_Insecticides_Commonly_Applied_to__.pdf
Flubendiamide,12,0,12,0,,A_monoclonal_antibody_based_indirect_competitive_enzyme_linked_immunosorbent_ass.pdf | Biodegradation_of_flubendiamide_by_a_newly_isolated_Chryseobacterium_sp__strain_.pdf | Biodegradation_of_pesticide_in_agricultural_soil_employing_entomopathogenic_fung.pdf | De_novo_transcriptome_and_expression_profile_analyses_of_the_Asian_corn_borer__O.pdf | Embryonic_exposure_to_flubendiamide_induces_hepatotoxicity_in_domestic_chicks_by.pdf
Fludioxonil,19,0,19,0,,A_Fungicide__Fludioxonil__Formed_the_Polyploid_Giant_Cancer_Cells_and_Induced_Me.pdf | Aggressiveness_and_Patulin_Production_in__i_Penicillium_expansum__i__Multidrug_R.pdf | Combining_Culture_Dependent_and_Independent_Approaches_for_the_Optimization_of_E.pdf | Degradation_of_Pesticide_Residues_in_Water__Soil__and_Food_Products_via_Cold_Pla.pdf | Effect_of_cyprodinil_and_fludioxonil_pesticides_on_bovine_liver_catalase_activit.pdf
Fluensulfone,2,0,2,0,,Degradation_strategies_of_pesticide_residue__From_chemicals_to_synthetic_biology.pdf | Field_evaluation_of_the_nematicide_fluensulfone_for_control_of_the_potato_cyst_n.pdf
Flufenoxuron,1,0,1,0,,Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf
Flumethrin,6,0,6,0,,Bacterial_Cytochrome_P450_Involvement_in_the_Biodegradation_of_Fluorinated_Pyret.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Evaluation_of_the_long_term_efficacy_and_safety_of_an_imidacloprid_10__flumethri.pdf | In_Vitro_Neurotoxicity_of_Flumethrin_Pyrethroid_on_SH_SY5Y_Neuroblastoma_Cells__.pdf | Insight_Into_Microbial_Applications_for_the_Biodegradation_of_Pyrethroid_Insecti.pdf
Flumioxazin,4,0,4,0,,Mapping_of_flumioxazin_tolerance_in_a_snap_bean_diversity_panel_leads_to_the_dis.pdf | Pyrolysis_Temperature_vs__Application_Rate_of_Biochar_Amendments__Impacts_on_Soi.pdf | Responses_of_soil_microbial_biomass_and_enzyme_activity_to_herbicides_imazethapy.pdf | Updated_peer_review_of_the_pesticide_risk_assessment_of_the_active_substance_flu.pdf
Fluopicolide,4,0,4,0,,Fluopicolide_Induced_Oxidative_Stress_and_DNA_Damage_in_the_Earthworm__i_Eisenia.pdf | Residue_and_risk_assessment_of_fluopicolide_and_cyazofamid_in_grapes_and_soil_us.pdf | Review_of_the_existing_maximum_residue_levels_for_fluopicolide_according_to_Arti.pdf | Toward_Improved_Bioremediation_Strategies__Response_of_BAM_Degradation_Activity_.pdf
Fluopyram,14,0,14,0,,Changes_to_Soil_Microbiome_Resulting_from_Synergetic_Effects_of_Fungistatic_Comp.pdf | Degradation_strategies_of_pesticide_residue__From_chemicals_to_synthetic_biology.pdf | Effect_of_microorganisms_on_degradation_of_fluopyram_and_tebuconazole_in_laborat.pdf | Efficacy_of_fluopyram_applied_by_chemigation_on_controlling_eggplant_root_knot_n.pdf | Modification_of_the_existing_maximum_residue_level_for_fluopyram_in_broccoli_.pdf
Flupyradifurone,11,0,11,0,,Bergamot_Polyphenolic_Fraction_for_the_Control_of_Flupyradifurone_Induced_Poison.pdf | Dissipation__Processing_Factors_and_Dietary_Risk_Assessment_for_Flupyradifurone_.pdf | Effects_of_Nosema_ceranae__Dissociodihaplophasida__Nosematidae__and_Flupyradifur.pdf | Flupyradifurone__a_brief_profile_of_a_new_butenolide_insecticide_.pdf | Long_term_field_realistic_exposure_to_a_next_generation_pesticide__flupyradifuro.pdf
Flusilazole,1,0,1,0,,Research_Progress_on_the_Degradation_of_Organic_Pollutants_in_Water_by_Activated.pdf
Flutianil,1,0,1,0,,Setting_of_import_tolerances_for_flutianil_in_various_crops_.pdf
Flutolanil,3,0,3,0,,Conclusion_regarding_the_peer_review_of_the_pesticide_risk_assessment_of_the_act.pdf | Peer_review_of_the_pesticide_risk_assessment_of_the_active_substance_flutolanil_.pdf | Setting_of_an_import_tolerance_for_flutolanil_in_peanuts_.pdf
Flutriafol,3,0,3,0,,Evaluation_of_confirmatory_data_following_the_Article_12_MRL_review_and_setting_.pdf | Mechanistic_Insight_into_the_Degradation_of_Nitrosamines_via_Aqueous_Phase_UV_Ph.pdf | Understanding_the_Metabolism_and_Dissipation_Kinetics_of_Flutriafol_in_Vegetable.pdf
Fluxapyroxad,9,9,0,0,"A Nationwide Study of Residual Fate of Fluxapyroxad and Its Metabolites in Peanut Crops Across China Assessment of Human Exposure Potential..pdf | Accumulation and growth toxicity mechanisms of fluxapyroxad revealed by physiological, hepatopancreas transcriptome, and gut microbiome analysis in Pacific white shrimp (Litopenaeus vannamei)..pdf | Degradation of Fluxapyroxad in Soils and WaterSediment Systems Under Aerobic or Anaerobic Conditions..pdf | Dissipation kinetics and biological degradation by yeast and dietary risk assessment of fluxapyroxad in apples..pdf | Expanding the use of biobeds Degradation and adsorption of pesticides contained in effluents from seed-coating, bulb disinfestation and fruit-packaging activities..pdf",
Folpet,9,0,9,0,,Atmospheric_oxidation_of_Folpet_initiated_by_OH_radicals__NO_sub_3__sub__radical.pdf | Degradation_of_metalaxyl_and_mefenoxam_and_effects_on_the_microbiological_proper.pdf | Low_temperatures_lead_to_higher_toxicity_of_the_fungicide_folpet_to_larval_stage.pdf | Modification_of_the_existing_maximum_residue_level_for_folpet_in_lettuces_.pdf | Modification_of_the_existing_maximum_residue_levels_for_folpet_in_apples_and_pea.pdf
Fosetyl Al,1,1,0,0,Fosetyl-Al photo-Fenton degradation and its endogenous catalyst inhibition..pdf,
Glufosinate-Ammonium,18,18,0,0,"Accumulation, metabolites formation and elimination behavior of rac-glufosinate-ammonium and glufosinate-P in zebrafish (Danio rerio)..pdf | Casein Kinase 2 Mediates Degradation of Transcription Factor Pcf1 during Appressorium Formation in the Rice Blast Fungus..pdf | Chromatographic Methods for the Determination of Glyphosate in Cereals Together with a Discussion of Its Occurrence, Accumulation, Fate, Degradation, and Regulatory Status..pdf | Co-option of an extracellular protease for transcriptional control of nutrient degradation in the fungus Aspergillus nidulans..pdf | Comparing toxicity and biodegradation of racemic glufosinate and L-glufosinate in green algae Scenedesmus obliquus..pdf",
Glyphosate,243,1,242,0,Glyphosate_10.2323_jgam.58.263.pdf,A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | A_Glyphosate_Based_Formulation_but_Not_Glyphosate_Alone_Alters_Human_Placental_I.pdf | A_Glyphosate_Based_Herbicide_in_Soil_Differentially_Affects_Hormonal_Homeostasis.pdf | A_Human_Biomonitoring_Study_Assessing_Glyphosate_and_Aminomethylphosphonic_Acid_.pdf | A_Method_for_the_Analysis_of_Glyphosate__Aminomethylphosphonic_Acid__and_Glufosi.pdf
Haloxyfop,8,0,8,0,,Chiral_method_validation_and_stereoselective_degradation_of_profoxydim_isomers_i.pdf | Dynamics_of_the_Degradation_of_Acetyl_CoA_Carboxylase_Herbicides_in_Vegetables_.pdf | Impact_of_biochar_on_the_degradation_rates_of_three_pesticides_by_vegetables_and.pdf | Molecular_basis_for_enantioselective_herbicide_degradation_imparted_by_aryloxyal.pdf | Purification_and_properties_of_a_novel_quizalofop_p_ethyl_hydrolyzing_esterase_i.pdf
Heptachlor,20,0,20,0,,Anaerobic_biodegradation_of_chlorophenols_in_fresh_and_acclimated_sludge_.pdf | Bacterial_degradation_of_aromatic_compounds_.pdf | Biochar_in_co_contaminated_soil_manipulates_arsenic_solubility_and_microbiologic.pdf | Biodegradability_and_biodegradation_pathways_of_chlorinated_cyclodiene_insectici.pdf | Biodegradation_of_pesticide_in_agricultural_soil_employing_entomopathogenic_fung.pdf
Hexythiazox,8,8,0,0,"Direct Enantiomeric Separation and Determination of Hexythiazox Enantiomers in Environment and Vegetable by Reverse-Phase High-Performance Liquid Chromatography..pdf | Lethal and sublethal effects of pesticides on Chrysoperla carnea larvae (Neuroptera Chrysopidae) and the influence of rainfastness in their degradation pattern over time..pdf | Photodegradation of hexythiazox in different solvent systems under the influence of ultraviolet light and sunlight in the presence of TiO2, H2O2, and KNO3 and identification of the photometabolites..pdf | Residue dissipation, evaluation of processing factor and safety assessment of hexythiazox and bifenazate residues during drying of grape to raisin..pdf | Review of the existing maximum residue levels for hexythiazox according to Article 12 of Regulation (EC) NoÂ 3962005..pdf",
Hydrogen Phosphide,9,9,0,0,Aggregation and Degradation of White Phosphorus Mediated by N-Heterocyclic Carbene Nickel(0) Complexes..pdf | Challenges and Perspectives on Photocatalytic Membrane Reactors for Volatile Organic Compounds Degradation and Nitrogen Oxides Treatment..pdf | Direct Z-scheme P–TiO2g-C3N4 heterojunction for the photocatalytic degradation of sulfa antibiotics†.pdf | Efficient pH-universal degradation of antibiotic tetracycline via Cosub2subP decorated Neosinocalamus affinis biochar..pdf | How to Build a Microplastics-Free Environment Strategies for Microplastics Degradation and Plastics Recycling..pdf,
Imazamox,18,18,0,0,"Adsorption and degradation of imazapic in soils under different environmental conditions..pdf | Analysis of the Photodegradation of the Imidazolinone Herbicides Imazamox, Imazapic, Imazaquin, and Imazamethabenz-methyl in Aqueous Solution..pdf | Application of an Enzymatic Hydrolysed L-α-Amino Acid Based Biostimulant to Improve Sunflower Tolerance to Imazamox.pdf | Behavior of imidazolinone herbicide enantiomers in earthworm-soil microcosms Degradation and bioaccumulation..pdf | Behavior of the Chiral Herbicide Imazamox in Soils Enantiomer Composition Differentiates between Biodegradation and Photodegradation..pdf",
Imazapic,9,9,0,0,"Adsorption and degradation of imazapic in soils under different environmental conditions..pdf | Analysis of the Photodegradation of the Imidazolinone Herbicides Imazamox, Imazapic, Imazaquin, and Imazamethabenz-methyl in Aqueous Solution..pdf | Behavior of imidazolinone herbicide enantiomers in earthworm-soil microcosms Degradation and bioaccumulation..pdf | Catalytic ozonation for imazapic degradation over kelp-derived biochar Promotional role of N- and S-based active sites..pdf | Degradation of imazapic and imazapyr herbicides in the presence of optimized oil palm empty fruit bunch and rice husk biochars in soil..pdf",
Imazapyr,7,0,7,0,,A_review_on_plasmonic_based_heterojunction_photocatalysts_for_degradation_of_org.pdf | Adsorption_and_degradation_of_imazapic_in_soils_under_different_environmental_co.pdf | Deciphering_the_genetic_determinants_for_aerobic_nicotinic_acid_degradation__the.pdf | Enhanced_Photocatalytic_Degradation_of_the_Imidazolinone_Herbicide_Imazapyr_upon.pdf | Nanoparticles_Based_on_Chitosan_as_Carriers_for_the_Combined_Herbicides_Imazapic.pdf
